stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,3.9,150,212,70.8,2786.0,1077.0,60,66,90.9,73,99,73.7,17,39,43.6,0,0.7,0.4,-0.4,4,12,2,19
,,1.7,91,102,89.2,1539.0,402.0,44,44,100.0,44,46,95.7,3,7,42.9,0,0.0,0.0,0.0,0,4,0,8
,,1.0,56,60,93.3,896.0,285.0,25,26,96.2,30,32,93.8,0,1,0.0,0,0.0,0.0,0.0,0,4,0,8
,,3.4,90,132,68.2,1553.0,636.0,45,58,77.6,36,48,75.0,7,19,36.8,0,0.4,0.3,-0.3,4,7,3,10
,,3.2,106,136,77.9,1735.0,464.0,53,68,77.9,43,47,91.5,8,15,53.3,0,0.3,0.2,-0.2,5,9,0,11
,,0.2,7,9,77.8,109.0,22.0,2,3,66.7,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,1
,,1.1,38,42,90.5,534.0,105.0,21,24,87.5,16,16,100.0,0,1,0.0,1,0.2,0.1,0.9,2,1,0,2
,,3.8,124,137,90.5,2449.0,673.0,30,32,93.8,75,79,94.9,15,21,71.4,0,0.0,0.0,0.0,0,1,0,3
,,2.0,46,56,82.1,610.0,114.0,32,34,94.1,11,14,78.6,1,6,16.7,0,0.2,0.2,-0.2,4,0,1,2
,,1.0,57,65,87.7,820.0,239.0,30,32,93.8,22,23,95.7,1,4,25.0,0,0.0,0.0,0.0,1,4,0,9
,,1.5,25,30,83.3,537.0,216.0,7,7,100.0,13,15,86.7,5,8,62.5,0,0.0,0.0,0.0,0,2,0,0
,,0.6,17,20,85.0,228.0,77.0,8,10,80.0,8,9,88.9,0,0,0.0,0,0.1,0.3,-0.3,3,1,0,2
,,2.0,101,113,89.4,1616.0,466.0,56,60,93.3,36,40,90.0,6,10,60.0,0,0.0,0.0,0.0,0,5,0,8
,,2.7,135,164,82.3,2199.0,586.0,71,80,88.8,55,61,90.2,7,14,50.0,1,0.8,0.7,0.3,6,17,2,18
,,4.0,130,145,89.7,2399.0,857.0,47,51,92.2,66,72,91.7,15,19,78.9,0,0.0,0.0,0.0,1,3,0,5
,,0.2,20,22,90.9,376.0,86.0,5,5,100.0,14,15,93.3,1,2,50.0,0,0.0,0.0,0.0,0,2,0,3
,,2.7,198,225,88.0,3619.0,1134.0,86,88,97.7,89,94,94.7,20,35,57.1,0,0.2,0.1,-0.1,2,15,0,19
,,3.8,140,161,87.0,2227.0,656.0,72,78,92.3,50,58,86.2,12,16,75.0,0,0.1,0.0,0.0,0,18,0,23
,,1.0,31,43,72.1,541.0,130.0,15,17,88.2,13,18,72.2,3,6,50.0,0,0.0,0.1,-0.1,1,1,0,0
,,1.6,50,58,86.2,860.0,336.0,19,22,86.4,26,29,89.7,4,5,80.0,0,0.2,0.2,-0.2,2,5,2,8
,,2.1,28,37,75.7,353.0,65.0,13,17,76.5,9,11,81.8,1,1,100.0,0,0.0,0.0,0.0,1,1,0,3
,,0.8,24,30,80.0,368.0,97.0,12,15,80.0,11,13,84.6,1,2,50.0,0,0.0,0.0,0.0,1,3,0,6
,,0.6,43,47,91.5,752.0,174.0,23,23,100.0,15,15,100.0,5,9,55.6,0,0.1,0.1,-0.1,1,4,0,4
,,0.9,42,53,79.2,760.0,240.0,20,22,90.9,13,16,81.3,8,13,61.5,0,0.2,0.1,-0.1,3,4,0,5
,,3.9,161,194,83.0,3299.0,1115.0,58,68,85.3,65,76,85.5,29,38,76.3,0,0.2,0.2,-0.2,4,14,0,16
,,4.0,286,316,90.5,6000.0,1913.0,66,74,89.2,185,194,95.4,31,38,81.6,1,0.2,0.6,0.4,4,34,0,30
,,0.2,5,5,100.0,87.0,21.0,2,2,100.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.2,9,12,75.0,191.0,17.0,3,5,60.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0
,,4.0,109,136,80.1,2293.0,837.0,27,30,90.0,69,78,88.5,13,26,50.0,0,0.0,0.0,0.0,0,4,0,3
,,4.0,224,272,82.4,4085.0,1510.0,92,99,92.9,106,116,91.4,23,47,48.9,0,0.4,0.2,-0.2,5,14,1,13
,,1.9,69,87,79.3,1130.0,290.0,36,41,87.8,27,33,81.8,5,9,55.6,0,0.1,0.0,0.0,1,4,2,5
,,0.1,10,14,71.4,158.0,26.0,6,8,75.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0
,,4.0,118,133,88.7,1872.0,261.0,61,68,89.7,47,51,92.2,7,10,70.0,0,0.1,0.0,0.0,1,11,0,4
,,3.3,50,67,74.6,701.0,132.0,25,30,83.3,20,24,83.3,2,4,50.0,1,0.3,0.6,0.4,7,1,0,5
,,1.2,28,41,68.3,531.0,125.0,13,15,86.7,11,14,78.6,4,6,66.7,0,0.0,0.0,0.0,0,3,0,5
,,0.0,3,4,75.0,34.0,0.0,2,3,66.7,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.5,47,53,88.7,847.0,198.0,21,23,91.3,20,21,95.2,5,7,71.4,0,0.0,0.0,0.0,0,5,0,8
,,0.2,3,3,100.0,50.0,10.0,2,2,100.0,0,0,0.0,1,1,100.0,0,0.1,0.1,-0.1,1,1,0,0
,,4.0,304,326,93.3,6199.0,2156.0,85,87,97.7,184,198,92.9,34,39,87.2,0,0.0,0.0,0.0,0,16,0,11
,,2.5,42,56,75.0,757.0,117.0,19,21,90.5,15,19,78.9,7,10,70.0,1,0.0,0.1,0.9,2,2,1,1
,,3.1,66,82,80.5,922.0,185.0,43,47,91.5,21,25,84.0,1,3,33.3,0,0.3,0.3,-0.3,3,3,0,6
,,3.0,98,119,82.4,1569.0,725.0,48,51,94.1,40,47,85.1,7,15,46.7,0,0.0,0.0,0.0,2,8,0,15
,,0.9,26,31,83.9,411.0,80.0,14,17,82.4,11,12,91.7,1,2,50.0,0,0.0,0.0,0.0,1,4,0,2
,,0.5,16,23,69.6,205.0,109.0,10,11,90.9,2,5,40.0,2,4,50.0,0,0.1,0.1,-0.1,2,3,1,1
