Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
102,Kévin Danois,fr FRA,"MF,DF",Auxerre,20-094,2004,2.5,7,6,4,3,0,3,7,42.9,4,0,0,0,6,13,3,0,Matches
103,Kevin Danso,at AUT,DF,Lens,26-011,1998,2.0,3,0,2,1,0,1,2,50.0,1,2,2,0,2,5,12,0,Matches
104,Dante,br BRA,DF,Nice,40-348,1983,5.3,11,5,3,6,2,7,9,77.8,2,4,1,3,7,18,10,0,Matches
105,Pape Daouda Diongue,sn SEN,MF,Strasbourg,,,0.5,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
106,Mohammed Daramy,dk DEN,FW,Reims,22-267,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
107,Jonathan David,ca CAN,FW,Lille,24-260,2000,4.1,5,1,0,3,2,2,4,50.0,2,2,0,2,1,6,0,0,Matches
108,Zuriko Davitashvili,ge GEO,"MF,FW",Saint-Étienne,23-228,2001,5.7,7,4,2,4,1,6,14,42.9,8,3,0,3,3,10,1,0,Matches
109,Thibault De Smet,be BEL,DF,Reims,26-117,1998,0.1,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,Matches
110,Romain Del Castillo,fr FRA,FW,Brest,28-185,1996,4.5,8,5,3,1,4,4,5,80.0,1,9,0,9,1,9,0,0,Matches
111,Ousmane Dembélé,fr FRA,FW,Paris S-G,27-138,1997,3.8,3,2,0,2,1,1,1,100.0,0,1,0,1,3,6,0,0,Matches
112,Arthur Desmas,fr FRA,GK,Le Havre,30-176,1994,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
113,Mamadou Diakhon,fr FRA,"FW,MF",Reims,19-008,2005,0.5,2,2,1,0,1,2,3,66.7,1,0,0,0,0,2,1,0,Matches
114,Bafodé Diakité,fr FRA,DF,Lille,23-268,2001,6.0,7,4,4,2,1,5,9,55.6,4,5,2,3,5,12,12,1,Matches
115,Oumar Diakité,ci CIV,FW,Reims,20-285,2003,4.7,6,4,3,3,0,4,7,57.1,3,3,0,3,0,6,3,0,Matches
116,Habib Diarra,sn SEN,"MF,FW",Strasbourg,20-271,2004,5.3,3,1,0,2,1,1,4,25.0,3,4,0,4,0,3,9,0,Matches
117,Krépin Diatta,sn SEN,DF,Monaco,25-218,1999,0.1,2,0,2,0,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
118,Kandet Diawara,gn GUI,FW,Le Havre,24-233,2000,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
119,Mahamadou Diawara,fr FRA,MF,Lyon,19-226,2005,0.2,1,0,0,1,0,1,3,33.3,2,2,0,2,0,1,0,0,Matches
120,Bamba Dieng,sn SEN,FW,Angers,24-191,2000,2.3,2,0,0,1,1,0,0,,0,1,0,1,0,2,2,0,Matches
121,Sinaly Diomande,ci CIV,DF,Auxerre,23-174,2001,3.3,4,3,0,4,0,3,3,100.0,0,1,1,0,3,7,10,0,Matches
122,Lois Diony,fr FRA,FW,Angers,31-285,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
123,Sofiane Diop,fr FRA,"FW,MF",Nice,24-113,2000,0.4,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
124,Andy Diouf,fr FRA,MF,Lens,21-136,2003,5.1,11,7,2,7,2,8,13,61.5,5,9,1,8,2,13,4,0,Matches
125,Yehvann Diouf,fr FRA,GK,Reims,24-319,1999,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Assane Dioussé,sn SEN,MF,Auxerre,27-010,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
127,Gianluigi Donnarumma,it ITA,GK,Paris S-G,25-218,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
128,Désiré Doué,fr FRA,FW,Paris S-G,19-119,2005,1.6,2,1,1,1,0,0,4,0.0,4,1,0,1,0,2,1,0,Matches
129,Guela Doué,ci CIV,DF,Strasbourg,21-349,2002,6.0,13,10,7,2,4,8,11,72.7,3,5,0,5,8,21,34,0,Matches
130,Douglas,br BRA,MF,Nantes,27-261,1997,4.6,10,5,3,4,3,3,7,42.9,4,5,1,4,2,12,9,0,Matches
131,Ismaël Doukouré,fr FRA,MF,Strasbourg,21-068,2003,5.5,12,5,4,8,0,7,7,100.0,0,4,0,4,6,18,11,1,Matches
132,Kamory Doumbia,ml MLI,MF,Brest,21-225,2003,1.3,4,4,1,2,1,3,4,75.0,1,1,0,1,3,7,2,0,Matches
133,Jean-Kevin Duverne,ht HAI,DF,Nantes,27-080,1997,3.6,12,9,6,3,3,10,20,50.0,10,6,0,6,4,16,15,0,Matches
134,Stefan Džodić,rs SRB,DF,Montpellier,19-199,2005,1.0,5,2,3,2,0,3,4,75.0,1,0,0,0,2,7,5,0,Matches
135,Aron Dønnum,no NOR,"DF,MF",Toulouse,26-163,1998,4.1,6,3,2,4,0,2,6,33.3,4,1,0,1,2,8,7,0,Matches
136,Jacques Ekomie,ga GAB,DF,Angers,21-042,2003,2.5,5,5,2,2,1,2,4,50.0,2,6,0,6,2,7,6,0,Matches
137,Pierre Ekwah Elimby,fr FRA,MF,Saint-Étienne,22-259,2002,3.0,5,4,3,2,0,2,3,66.7,1,5,3,2,3,8,11,0,Matches
138,Breel Embolo,ch SUI,FW,Monaco,27-229,1997,3.7,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,2,0,Matches
139,Emanuel Emegha,nl NED,FW,Strasbourg,21-240,2003,5.6,4,4,0,2,2,1,1,100.0,0,4,4,0,0,4,5,0,Matches
140,Romain Faivre,fr FRA,"MF,FW",Brest,26-078,1998,2.9,6,6,2,3,1,2,5,40.0,3,1,0,1,3,9,0,0,Matches
141,Khalil Fayad,fr FRA,"MF,FW",Montpellier,20-113,2004,2.8,14,7,5,9,0,5,8,62.5,3,4,0,4,1,15,4,0,Matches
142,Zinedine Ferhat,dz ALG,"FW,MF",Angers,31-213,1993,1.8,1,0,0,1,0,0,2,0.0,2,1,0,1,1,2,2,0,Matches
143,Edimilson Fernandes,ch SUI,MF,Brest,28-168,1996,1.6,2,2,1,1,0,2,3,66.7,1,5,2,3,3,5,4,0,Matches
