Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
84,Marcin Bułka,pl POL,GK,Nice,24-362,1999,6,540,90,100.0,6.0,6,90,6,0,,0,1.33,14,6,+8,+1.33,,11.9,7.1,+4.8,+0.79,,Matches
85,Rémy Cabella,fr FRA,"MF,FW",Lille,34-206,1990,6,260,43,48.1,2.9,3,71,0,3,15,0,1.67,5,5,0,0.00,-1.29,6.1,4.0,+2.2,+0.75,+0.45,Matches
86,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,27-189,1997,6,397,66,73.5,4.4,5,77,2,1,13,0,0.67,1,13,-12,-2.72,-1.46,2.7,11.1,-8.4,-1.90,-0.35,Matches
87,Marc-Aurèle Caillard,fr FRA,GK,Lille,30-141,1994,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
88,Duje Ćaleta-Car,hr CRO,DF,Lyon,28-013,1996,6,539,90,99.8,6.0,6,90,5,0,,0,1.17,8,12,-4,-0.67,-0.67,9.0,9.7,-0.8,-0.13,-0.13,Matches
89,Issiaga Camara,gn GUI,MF,Nice,19-241,2005,1,4,4,0.7,0.0,0,,0,1,4,4,0.00,0,1,-1,-22.50,-24.01,0.1,0.1,0.0,-0.01,-0.81,Matches
90,Lamine Camara,sn SEN,MF,Monaco,20-273,2004,5,337,67,62.4,3.7,4,78,1,1,24,0,3.00,8,1,+7,+1.87,+0.98,9.7,1.2,+8.5,+2.27,+2.00,Matches
91,Mahdi Camara,fr FRA,MF,Brest,26-092,1998,6,456,76,84.4,5.1,5,88,4,1,17,0,1.00,7,13,-6,-1.18,-2.26,7.2,10.8,-3.7,-0.73,+1.77,Matches
92,Axel Camblan,fr FRA,"MF,FW",Brest,21-031,2003,2,26,13,4.8,0.3,0,,0,2,13,1,1.50,0,0,0,0.00,+0.88,0.1,0.0,+0.1,+0.40,+1.47,Matches
93,Jaydee Canvot,fr FRA,DF,Toulouse,18-063,2006,1,5,5,0.9,0.1,0,,0,1,5,1,0.00,0,1,-1,-18.00,-17.66,0.0,0.2,-0.2,-3.11,-3.98,Matches
94,Pierrick Capelle,fr FRA,MF,Angers,37-168,1987,4,183,46,33.9,2.0,2,73,0,2,19,2,0.00,2,4,-2,-0.98,+0.53,2.1,2.9,-0.8,-0.40,+0.62,Matches
95,Maxence Caqueret,fr FRA,MF,Lyon,24-228,2000,6,458,76,84.8,5.1,5,87,3,1,24,0,1.17,7,11,-4,-0.79,-0.79,6.6,8.9,-2.3,-0.45,-2.08,Matches
96,Simon Cara,fr FRA,FW,Montpellier,19-122,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
97,Valentin Carboni,ar ARG,"MF,FW",Marseille,19-209,2005,3,58,19,10.7,0.6,0,,0,3,19,2,1.33,0,1,-1,-1.55,-3.23,0.5,1.0,-0.5,-0.75,-0.63,Matches
98,Patrik Carlgren,se SWE,GK,Nantes,32-266,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
99,Josué Casimir,fr FRA,"FW,DF",Le Havre,23-006,2001,6,406,68,75.2,4.5,5,75,2,1,29,0,1.00,5,11,-6,-1.33,-1.33,3.9,8.3,-4.4,-0.97,-0.99,Matches
100,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,24-254,2000,6,427,71,79.1,4.7,5,79,3,1,33,0,0.83,4,7,-3,-0.63,-0.63,7.2,3.1,+4.1,+0.86,+0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
101,Jean-Charles Castelletto,cm CMR,DF,Nantes,29-248,1995,5,450,90,83.3,5.0,5,90,5,0,,0,1.20,6,5,+1,+0.20,-1.80,5.8,5.2,+0.7,+0.13,-0.42,Matches
102,Brendan Chardonnet,fr FRA,DF,Brest,29-283,1994,5,450,90,83.3,5.0,5,90,5,0,,1,0.60,6,13,-7,-1.40,-3.40,7.1,10.8,-3.7,-0.75,+1.52,Matches
103,Jhoanner Chávez,ec ECU,DF,Lens,22-158,2002,4,302,76,55.9,3.4,4,76,0,0,,1,2.00,3,2,+1,+0.30,-0.46,5.3,2.9,+2.4,+0.72,-0.10,Matches
104,Théo Chennahi,fr FRA,DF,Montpellier,19-237,2005,1,3,3,0.6,0.0,0,,0,1,3,5,0.00,0,0,0,0.00,+1.84,0.0,0.7,-0.7,-20.74,-19.87,Matches
105,Sidiki Cherif,fr FRA,FW,Angers,17-290,2006,5,282,56,52.2,3.1,3,81,1,2,20,0,0.40,1,6,-5,-1.60,-0.55,2.4,4.0,-1.6,-0.52,+0.59,Matches
106,Rayan Cherki,fr FRA,MF,Lyon,21-044,2003,2,46,23,8.5,0.5,0,,0,2,23,0,1.50,2,1,+1,+1.96,+2.87,0.8,0.5,+0.4,+0.73,+0.94,Matches
107,Lucas Chevalier,fr FRA,GK,Lille,22-329,2001,6,540,90,100.0,6.0,6,90,6,0,,0,1.67,11,7,+4,+0.67,,11.3,8.1,+3.1,+0.52,,Matches
108,Pedro Chirivella,es ESP,MF,Nantes,27-130,1997,6,525,88,97.2,5.8,6,88,3,0,,0,1.50,8,6,+2,+0.34,-5.66,6.5,6.0,+0.5,+0.09,-3.88,Matches
109,Joris Chotard,fr FRA,MF,Montpellier,23-006,2001,3,219,73,40.6,2.4,3,73,2,0,,0,0.33,2,8,-6,-2.47,-1.06,2.6,4.9,-2.3,-0.96,+0.03,Matches
110,Djaoui Cissé,fr FRA,MF,Rennes,20-243,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
111,Jonathan Clauss,fr FRA,"MF,DF",Nice,32-005,1992,6,448,75,83.0,5.0,5,81,3,1,45,0,1.33,10,5,+5,+1.00,-1.93,8.2,4.8,+3.4,+0.69,-0.61,Matches
112,Marcus Coco,fr FRA,DF,Nantes,28-098,1996,5,277,55,51.3,3.1,3,82,0,2,16,0,1.60,5,4,+1,+0.32,-0.36,3.9,3.1,+0.8,+0.27,+0.14,Matches
113,Derek Cornelius,ca CAN,DF,Marseille,26-310,1997,4,343,86,63.5,3.8,4,86,3,0,,1,2.25,10,3,+7,+1.84,+1.38,4.2,4.5,-0.3,-0.08,+0.30,Matches
