Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
108,Zuriko Davitashvili,ge GEO,"MF,FW",Saint-Étienne,23-228,2001,5.7,0,5,1,20.0,0.88,0.18,0.00,0.00,18.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
109,Thibault De Smet,be BEL,DF,Reims,26-117,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
110,Romain Del Castillo,fr FRA,FW,Brest,28-185,1996,4.5,2,5,2,40.0,1.11,0.45,0.00,0.00,26.3,0,2,3,2.7,0.4,0.07,-0.7,-0.4,Matches
111,Ousmane Dembélé,fr FRA,FW,Paris S-G,27-138,1997,3.8,4,19,10,52.6,5.03,2.65,0.21,0.40,14.6,0,0,0,2.5,2.5,0.13,+1.5,+1.5,Matches
112,Arthur Desmas,fr FRA,GK,Le Havre,30-176,1994,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
113,Mamadou Diakhon,fr FRA,"FW,MF",Reims,19-008,2005,0.5,0,2,2,100.0,4.29,4.29,0.00,0.00,17.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
114,Bafodé Diakité,fr FRA,DF,Lille,23-268,2001,6.0,1,4,2,50.0,0.67,0.33,0.25,0.50,8.1,0,0,0,0.9,0.9,0.22,+0.1,+0.1,Matches
115,Oumar Diakité,ci CIV,FW,Reims,20-285,2003,4.7,1,6,3,50.0,1.27,0.64,0.17,0.33,10.7,0,0,0,1.0,1.0,0.16,0.0,0.0,Matches
116,Habib Diarra,sn SEN,"MF,FW",Strasbourg,20-271,2004,5.3,1,8,4,50.0,1.51,0.75,0.13,0.25,20.6,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
117,Krépin Diatta,sn SEN,DF,Monaco,25-218,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
