stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,6,319,3.5,4,66.0,0,2,27.0,0,1.33,3,3,0,0.0,2.5,2.4,0.0,0.01
,,5,377,4.2,4,89.0,3,1,21.0,0,1.8,11,7,4,0.95,7.4,5.1,2.3,0.55
,,3,87,1.0,0,0.0,0,3,29.0,0,2.0,3,1,2,2.07,2.7,1.6,1.1,1.16
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,109,1.2,1,60.0,0,2,25.0,1,1.67,0,1,-1,-0.83,1.5,1.0,0.5,0.43
,,4,346,3.8,4,87.0,3,0,0.0,1,2.0,7,2,5,1.3,7.2,2.1,5.1,1.32
,,3,270,3.0,3,90.0,3,0,0.0,1,0.33,1,4,-3,-1.0,2.7,3.6,-0.9,-0.31
,,4,321,3.6,4,80.0,2,0,0.0,0,2.5,9,6,3,0.84,5.9,3.3,2.6,0.73
,,3,231,2.6,3,77.0,1,0,0.0,1,2.33,4,5,-1,-0.39,3.5,2.8,0.7,0.29
,,5,358,4.0,4,83.0,2,1,26.0,0,3.0,16,3,13,3.27,11.5,3.9,7.6,1.9
,,4,220,2.4,2,90.0,2,2,20.0,1,1.0,2,4,-2,-0.82,1.1,3.1,-2.0,-0.81
,,3,161,1.8,2,68.0,1,1,26.0,2,2.0,3,5,-2,-1.12,2.7,4.2,-1.5,-0.86
,,2,91,1.0,1,90.0,1,1,1.0,0,1.5,0,2,-2,-1.98,1.4,2.0,-0.6,-0.61
,,1,45,0.5,0,0.0,0,1,45.0,1,0.0,0,2,-2,-4.0,0.1,1.1,-1.0,-1.95
,,4,191,2.1,1,77.0,0,3,38.0,0,0.25,1,3,-2,-0.94,1.0,2.8,-1.8,-0.83
,,4,315,3.5,3,90.0,3,1,45.0,0,2.0,6,2,4,1.14,5.0,1.9,3.0,0.86
