stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,1.9,36,1,8,18,12,0,36,8,5,62.5,3,37.5,24,234.0,95.0,2,4,1,5,4,26,3
,,3.0,150,23,76,73,3,1,150,2,2,100.0,0,0.0,77,560.0,367.0,4,0,0,1,1,110,0
,,1.8,98,1,6,46,46,9,98,3,1,33.3,2,66.7,46,214.0,103.0,2,4,1,8,1,74,15
,,3.0,186,13,48,79,61,2,186,2,1,50.0,1,50.0,84,369.0,159.0,3,2,0,5,2,101,13
,,0.2,6,0,1,1,4,1,6,0,0,0.0,0,0.0,4,10.0,0.0,0,0,0,1,0,5,1
,,1.1,28,0,5,8,15,7,28,2,1,50.0,1,50.0,18,79.0,31.0,1,0,1,5,0,20,4
,,3.7,266,40,140,117,13,2,266,2,1,50.0,0,0.0,160,792.0,441.0,6,1,0,3,2,180,0
,,0.1,1,0,0,1,0,0,1,0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0,0
,,0.9,56,1,9,34,13,1,56,2,0,0.0,1,50.0,39,160.0,113.0,4,1,0,1,2,39,6
,,0.6,27,1,7,15,5,1,27,1,0,0.0,1,100.0,15,66.0,10.0,0,0,0,3,0,15,2
,,1.0,44,5,15,19,10,1,44,0,0,0.0,0,0.0,19,84.0,32.0,0,2,0,1,1,20,0
,,3.7,193,7,56,122,18,0,193,1,0,0.0,1,100.0,100,337.0,123.0,0,2,0,5,3,106,6
,,3.3,334,39,175,156,6,1,334,0,0,0.0,0,0.0,226,1052.0,379.0,1,0,0,5,0,261,0
,,2.0,107,19,68,37,2,0,107,0,0,0.0,0,0.0,47,173.0,59.0,0,0,0,0,0,64,0
,,0.1,17,4,8,8,1,0,17,1,1,100.0,0,0.0,8,60.0,38.0,2,0,0,0,0,4,1
,,0.4,26,5,12,7,7,0,26,0,0,0.0,0,0.0,7,25.0,17.0,1,0,0,1,0,11,1
,,0.1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,2.0,0.0,0,0,0,0,1,1,0
,,1.5,62,1,9,28,26,3,62,2,0,0.0,2,100.0,26,139.0,57.0,2,2,0,5,2,32,5
,,4.0,135,110,135,0,0,0,135,0,0,0.0,0,0.0,80,357.0,250.0,0,0,0,0,0,60,0
,,3.3,177,1,27,74,78,7,177,10,6,60.0,4,40.0,103,536.0,301.0,9,4,1,6,8,119,18
