player_name,nation,position,age,date_of_birth
Granit Xhaka,SUI,MF,31.0,1992.0
Dan-Axel Zagadou,FRA,MF,25.0,1999.0
Robin Zentner,GER,GK,29.0,1994.0
Cedric Zesiger,SUI,DF,26.0,1998.0
Michael Zetterer,GER,GK,29.0,1995.0
Abel,ESP,DF,24.0,2000.0
Nabil Aberdin,FRA,MF,22.0,2002.0
Abdel Abqar,MAR,DF,25.0,1999.0
Julen Agirrezabala,ESP,GK,23.0,2000.0
Lucien Agoume,FRA,MF,22.0,2002.0
Álvaro Aguado,ESP,MF,28.0,1996.0
Nayef Aguerd,MAR,DF,28.0,1996.0
Joseph Aidoo,GHA,DF,28.0,1995.0
Ilias Akhomach,MAR,MF,20.0,2004.0
Raúl Albiol,ESP,DF,39.0,1985.0
Omar Alderete,PAR,DF,27.0,1996.0
Carles Aleñá,ESP,"MF,FW",26.0,1998.0
Alfon,ESP,FW,25.0,1999.0
Domingos André Ribeiro Almeida,POR,"FW,MF",24.0,2000.0
Iker Almena,ESP,"FW,DF",20.0,2004.0
Marcos Alonso,ESP,DF,33.0,1990.0
Adrià Altimira,ESP,"DF,FW",23.0,2001.0
Sergi Altimira,ESP,MF,23.0,2001.0
Hugo Álvarez,ESP,"MF,DF",21.0,2003.0
Julián Álvarez,ARG,FW,24.0,2000.0
Yeray Álvarez,ESP,DF,29.0,1995.0
Selim Amallah,MAR,MF,27.0,1996.0
Amath,SEN,"FW,DF",28.0,1996.0
Marcos André,BRA,FW,27.0,1996.0
Antoniu,ESP,MF,22.0,2002.0
Aritz Arambarri,ESP,DF,26.0,1998.0
Mauro Arambarri,URU,"MF,FW",28.0,1995.0
Jon Aramburu,VEN,DF,22.0,2002.0
Adu Ares,ESP,FW,22.0,2001.0
Jesús Areso,ESP,DF,25.0,1999.0
José Arnaiz,ESP,FW,29.0,1995.0
Takuma Asano,JPN,FW,29.0,1994.0
Iago Aspas,ESP,"FW,MF",37.0,1987.0
Yaser Asprilla,COL,"MF,FW",20.0,2003.0
Ezequiel Ávila,ARG,FW,30.0,1994.0
César Azpilicueta,ESP,DF,35.0,1989.0
Loïc Bade,FRA,DF,24.0,2000.0
Alex Baena,ESP,MF,23.0,2001.0
Eric Bailly,CIV,DF,30.0,1994.0
Alejandro Balde,ESP,DF,20.0,2003.0
Iván Balliu,ALB,DF,32.0,1992.0
Jonathan Bamba,CIV,"FW,MF",28.0,1996.0
Valentín Barco,ARG,DF,20.0,2004.0
Enzo Barrenechea,ARG,MF,23.0,2001.0
Ander Barrenetxea,ESP,"MF,FW",22.0,2001.0
Pablo Barrios,ESP,MF,21.0,2003.0
Thierno Barry,FRA,FW,21.0,2002.0
Marc Bartra,ESP,DF,33.0,1991.0
Aboubacar Bassinga,CIV,MF,19.0,2005.0
Augusto Batalla,ARG,GK,28.0,1996.0
Sheraldo Becker,SUR,"FW,MF",29.0,1995.0
Donny van de Beek,NED,FW,27.0,1997.0
Héctor Bellerín,ESP,DF,29.0,1995.0
Jude Bellingham,ENG,MF,21.0,2003.0
Fran Beltrán,ESP,MF,25.0,1999.0
Carlos Benavídez,URU,MF,26.0,1998.0
Iker Benito,ESP,"FW,MF",22.0,2002.0
Yuri Berchiche,ESP,DF,34.0,1990.0
Álex Berenguer,ESP,"FW,MF",29.0,1995.0
Marc Bernal,ESP,MF,17.0,2007.0
Juan Bernat,ESP,"MF,DF",31.0,1993.0
Juan Berrocal,ESP,DF,25.0,1999.0
Antonio Blanco,ESP,MF,24.0,2000.0
Daley Blind,NED,DF,34.0,1990.0
Adama Boiro,ESP,DF,22.0,2002.0
Enzo Boyomo,CMR,DF,22.0,2001.0
Darko Brašanac,SRB,MF,32.0,1992.0
Ante Budimir,CRO,FW,33.0,1991.0
Leandro Cabrera,URU,DF,33.0,1991.0
Fernando Calero,ESP,DF,29.0,1995.0
Sergio Camello,ESP,FW,23.0,2001.0
José Campaña,ESP,MF,31.0,1993.0
Sergi Canós,ESP,MF,27.0,1997.0
Cárdenas,ESP,GK,27.0,1997.0
Irvin Cardona,FRA,"MF,FW",27.0,1997.0
Marc Cardona,ESP,FW,29.0,1995.0
Sergi Cardona,ESP,DF,25.0,1999.0
Johnny Cardoso,USA,MF,22.0,2001.0
Carmona,ESP,DF,22.0,2002.0
Sergio Carreira,ESP,MF,23.0,2000.0
Dani Carvajal,ESP,DF,32.0,1992.0
William Carvalho,POR,MF,32.0,1992.0
Marc Casado,ESP,MF,21.0,2003.0
Catena,ESP,DF,29.0,1994.0
Dani Ceballos,ESP,MF,28.0,1996.0
Pep Chavarría,ESP,"DF,MF",26.0,1998.0
Walid Cheddira,MAR,FW,26.0,1998.0
Julián Chicco,ARG,MF,26.0,1998.0
Andreas Christensen,DEN,DF,28.0,1996.0
Jasper Cillessen,NED,GK,35.0,1989.0
Pathé Ciss,SEN,MF,30.0,1994.0
Seydouba Cissé,GUI,MF,23.0,2001.0
Eray Cömert,SUI,"DF,MF",26.0,1998.0
Santi Comesaña,ESP,MF,27.0,1996.0
Diego Conde,ESP,GK,25.0,1998.0
Tomás Conechny,ARG,"FW,MF",26.0,1998.0
Copete,ESP,DF,24.0,1999.0
Ángel Correa,ARG,"FW,MF",29.0,1995.0
Thierry Correia,POR,DF,25.0,1999.0
Logan Costa,CPV,DF,23.0,2001.0
Samu Costa,POR,MF,23.0,2000.0
Thibaut Courtois,BEL,GK,32.0,1992.0
Juan Cruz Armada,ESP,DF,32.0,1992.0
Juan Cruz,ESP,"FW,MF",24.0,2000.0
Pau Cubarsí,ESP,DF,17.0,2007.0
Arnaut Danjuma,NED,FW,27.0,1997.0
Sergi Darder,ESP,"MF,FW",30.0,1993.0
Rodrigo De Paul,ARG,MF,30.0,1994.0
Assane Diao,ESP,FW,19.0,2005.0
Moussa Diarra,MLI,DF,23.0,2000.0
Brahim Díaz,MAR,"FW,MF",25.0,1999.0
Pedro Díaz,ESP,FW,26.0,1998.0
Diego,ESP,"FW,MF",24.0,2000.0
Álvaro djaló,ESP,FW,25.0,1999.0
Djené,TOG,DF,32.0,1991.0
Marc Domenech,ESP,FW,18.0,2006.0
Carlos Dominguez,ESP,DF,23.0,2001.0
Sergi Dominguez,ESP,DF,19.0,2005.0
Anastasios Douvikas,GRE,FW,25.0,1999.0
Pablo Durán,ESP,FW,23.0,2001.0
Hugo Duro,ESP,FW,24.0,1999.0
Chidera Ejuke,NGA,"FW,MF",26.0,1998.0
Aritz Elustondo,ESP,DF,30.0,1994.0
Adri Embarba,ESP,"FW,MF",32.0,1992.0
Endrick,BRA,FW,18.0,2006.0
Alfonso Espino,URU,DF,32.0,1992.0
Abde Ezzalzouli,MAR,FW,22.0,2001.0
Peter Federico,DOM,"MF,FW",22.0,2002.0
Nabil Fekir,FRA,MF,31.0,1993.0
Kiko Femenía,ESP,DF,33.0,1991.0
Valery Fernández,ESP,"MF,DF",24.0,1999.0
Pablo Fornals,ESP,"FW,MF",28.0,1996.0
Héctor Fort,ESP,DF,18.0,2006.0
Dimitri Foulquier,FRA,"DF,MF",31.0,1993.0
Alejandro Francés,ESP,DF,22.0,2002.0
Enric Franquesa,ESP,"FW,DF",27.0,1997.0
Jorge de Frutos,ESP,"MF,FW",27.0,1997.0
Manuel Fuster,ESP,"FW,MF",26.0,1997.0
Iñigo Ruiz de Galarreta,ESP,MF,31.0,1993.0
Conor Gallagher,ENG,MF,24.0,2000.0
Álvaro García,ESP,"MF,FW",31.0,1992.0
Eric García,ESP,MF,23.0,2001.0
Fran Garcia,ESP,DF,25.0,1999.0
Joan García,ESP,GK,23.0,2001.0
Rubén García,ESP,"FW,MF",31.0,1993.0
Yarek Gasiorowski,ESP,DF,19.0,2005.0
Paulo Gazzaniga,ARG,GK,32.0,1992.0
Bryan Gil,ESP,"FW,MF",23.0,2001.0
Dani Gómez,ESP,FW,26.0,1998.0
Moi Gómez,ESP,MF,30.0,1994.0
Sergi Gómez,ESP,DF,32.0,1992.0
Sergio Gómez,ESP,"MF,FW",24.0,2000.0
Unai Gómez,ESP,"MF,FW",21.0,2003.0
Fabio González,ESP,MF,27.0,1997.0
Urko González,ESP,MF,23.0,2001.0
Andoni Gorosabel,ESP,DF,28.0,1996.0
José Gragera,ESP,MF,23.0,2000.0
Dominik Greif,SVK,GK,27.0,1997.0
Antoine Griezmann,FRA,"FW,MF",33.0,1991.0
Vicente Guaita,ESP,GK,37.0,1987.0
Sergi Guardiola,ESP,FW,33.0,1991.0
Nemanja Gudelj,SRB,"DF,MF",32.0,1991.0
Javier Guerra,ESP,"MF,FW",21.0,2003.0
Ander Guevara,ESP,MF,27.0,1997.0
Pape Gueye,SEN,MF,25.0,1999.0
Hugo Guillamón,ESP,MF,24.0,2000.0
Arda Güler,TUR,MF,19.0,2005.0
Gerard Gumbau,ESP,MF,29.0,1994.0
Jon Guridi,ESP,MF,29.0,1995.0
Gorka Guruzeta,ESP,FW,28.0,1996.0
Miguel Gutiérrez,ESP,DF,23.0,2001.0
Munir El Haddadi,MAR,FW,29.0,1995.0
Sébastien Haller,CIV,FW,30.0,1994.0
Javi Hernández,ESP,DF,26.0,1998.0
Jorge Herrando,ESP,DF,23.0,2001.0
Ander Herrera,ESP,MF,35.0,1989.0
