Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
128,João Félix,POR,"MF,FW",Chelsea,24,1999,1.2,50,62,80.6,713,207,31,36,86.1,14,16,87.5,3,5,60.0,0,0.0,0.1,0.0,0,11,3,0,8
129,Evan Ferguson,IRL,FW,Brighton,19,2004,0.3,4,5,80.0,62,25,3,4,75.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
130,Bruno Fernandes,POR,"MF,FW",Manchester Utd,30,1994,5.3,229,311,73.6,3741,1290,114,130,87.7,82,101,81.2,22,49,44.9,1,1.2,1.3,-0.2,6,28,9,3,47
131,Mateus Fernandes,POR,MF,Southampton,20,2004,2.5,85,105,81.0,1249,197,47,57,82.5,30,37,81.1,5,7,71.4,0,0.7,0.3,-0.7,3,8,1,0,12
132,Enzo Fernández,ARG,MF,Chelsea,23,2001,4.8,221,273,81.0,4021,1140,92,101,91.1,98,117,83.8,25,39,64.1,0,0.9,0.5,-0.9,6,25,2,0,20
133,Mark Flekken,NED,GK,Brentford,31,1993,6.0,259,334,77.5,7664,4614,31,33,93.9,121,127,95.3,107,173,61.8,0,0.0,0.0,0.0,0,9,1,0,0
134,Phil Foden,ENG,"MF,FW",Manchester City,24,2000,1.0,62,74,83.8,843,131,41,48,85.4,18,19,94.7,2,3,66.7,0,0.1,0.4,-0.1,2,1,2,0,4
135,Wesley Fofana,FRA,DF,Chelsea,23,2000,5.6,313,350,89.4,5433,1570,128,136,94.1,167,179,93.3,16,28,57.1,0,0.4,0.1,-0.4,4,20,1,0,12
136,Carlos Forbs,POR,MF,Wolves,20,2004,0.5,9,20,45.0,116,29,6,11,54.5,3,5,60.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,2
137,Ryan Fraser,SCO,FW,Southampton,30,1994,0.9,20,24,83.3,321,30,10,12,83.3,9,11,81.8,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
138,Niclas Füllkrug,GER,FW,West Ham,31,1993,0.7,13,14,92.9,120,23,8,8,100.0,1,2,50.0,0,0,0.0,0,0.0,0.1,0.0,0,1,0,0,0
