Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
125,Łukasz Fabiański,POL,GK,West Ham,39,1985,0.5,8,8,8,0,0,0,8,0,0,0.0,0,0.0,6,46,38,0,0,0,0,0,2,0
126,Wout Faes,BEL,DF,Leicester City,26,1998,6.0,349,83,213,127,11,6,349,2,2,100.0,0,0.0,183,925,545,2,2,0,4,3,218,1
127,Abdul Fatawu Issahaku,GHA,FW,Leicester City,20,2004,3.0,135,10,44,48,48,4,135,22,6,27.3,10,45.5,82,554,223,9,4,3,10,6,86,17
128,João Félix,POR,"MF,FW",Chelsea,24,1999,1.2,84,1,10,41,34,10,84,11,3,27.3,4,36.4,57,416,254,7,2,2,2,2,66,9
129,Evan Ferguson,IRL,FW,Brighton,19,2004,0.3,7,0,0,3,4,1,7,0,0,0.0,0,0.0,3,11,5,0,1,0,0,0,6,2
130,Bruno Fernandes,POR,"MF,FW",Manchester Utd,30,1994,5.3,373,5,39,175,163,16,373,9,6,66.7,2,22.2,230,1071,483,14,8,3,9,7,271,31
131,Mateus Fernandes,POR,MF,Southampton,20,2004,2.5,134,3,20,60,56,11,134,7,3,42.9,4,57.1,70,460,239,8,6,1,6,3,98,17
132,Enzo Fernández,ARG,MF,Chelsea,23,2001,4.8,322,8,62,171,89,10,322,7,2,28.6,3,42.9,174,622,322,4,3,0,9,7,234,12
133,Mark Flekken,NED,GK,Brentford,31,1993,6.0,355,285,343,14,0,0,355,0,0,0.0,0,0.0,241,1117,534,0,0,0,0,0,223,0
134,Phil Foden,ENG,"MF,FW",Manchester City,24,2000,1.0,84,3,10,17,57,8,84,2,2,100.0,0,0.0,55,225,111,3,1,1,0,1,67,10
135,Wesley Fofana,FRA,DF,Chelsea,23,2000,5.6,405,43,197,198,17,4,405,6,3,50.0,1,16.7,261,1348,597,4,3,0,10,2,302,3
136,Carlos Forbs,POR,MF,Wolves,20,2004,0.5,25,0,2,7,16,5,25,3,2,66.7,1,33.3,18,94,62,2,1,2,3,0,20,9
137,Ryan Fraser,SCO,FW,Southampton,30,1994,0.9,34,3,11,14,9,0,34,1,0,0.0,1,100.0,17,107,58,3,2,0,1,1,22,4
138,Niclas Füllkrug,GER,FW,West Ham,31,1993,0.7,24,3,3,10,11,6,24,2,0,0.0,2,100.0,10,51,43,2,0,2,4,1,15,3
139,Cody Gakpo,NED,FW,Liverpool,25,1999,1.4,64,4,8,24,34,10,64,4,4,100.0,0,0.0,42,234,94,1,1,1,0,1,54,19
140,Idrissa Gana Gueye,SEN,MF,Everton,35,1989,3.8,161,10,34,99,29,4,161,4,0,0.0,4,100.0,68,309,154,2,2,1,2,6,83,3
141,Alejandro Garnacho,ARG,FW,Manchester Utd,20,2004,3.6,165,2,17,65,84,23,165,17,2,11.8,12,70.6,124,885,363,16,7,9,11,11,129,43
142,James Garner,ENG,"DF,MF",Everton,23,2001,1.8,89,9,32,38,19,1,89,3,0,0.0,3,100.0,34,136,46,1,1,0,0,0,44,3
143,Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24,2000,4.8,243,4,22,129,94,20,243,16,7,43.8,7,43.8,128,606,275,9,6,3,10,13,180,21
144,Billy Gilmour,SCO,MF,Brighton,23,2001,1.1,73,2,14,46,13,0,73,2,1,50.0,1,50.0,44,210,117,2,0,0,0,0,58,2
145,João Gomes,BRA,MF,Wolves,23,2001,5.5,281,9,60,165,64,3,281,4,3,75.0,1,25.0,152,981,582,12,14,1,3,5,183,7
146,Rodrigo Gomes,POR,"FW,MF",Wolves,21,2003,1.3,44,3,9,12,23,5,44,2,1,50.0,1,50.0,20,188,157,6,1,4,3,1,27,12
147,Toti Gomes,POR,DF,Wolves,25,1999,4.0,214,35,115,90,12,2,214,2,2,100.0,0,0.0,129,717,368,3,5,0,5,3,151,2
148,Joe Gomez,ENG,DF,Liverpool,27,1997,0.0,6,1,2,3,1,0,6,0,0,0.0,0,0.0,2,10,0,0,0,0,0,0,3,0
149,Anthony Gordon,ENG,FW,Newcastle Utd,23,2001,5.6,237,4,32,87,121,16,236,23,10,43.5,8,34.8,158,1031,498,18,14,7,7,10,160,43
150,Ryan Gravenberch,NED,MF,Liverpool,22,2002,6.0,461,19,103,268,95,4,461,12,6,50.0,4,33.3,289,1587,845,18,18,2,7,1,336,12
151,Archie Gray,ENG,"MF,DF",Tottenham,18,2006,0.4,43,1,12,26,6,0,43,1,0,0.0,0,0.0,25,95,34,0,0,0,1,2,31,1
152,Jack Grealish,ENG,FW,Manchester City,29,1995,3.0,179,9,19,35,126,34,179,10,6,60.0,2,20.0,121,988,626,31,5,18,5,2,139,43
153,Jacob Greaves,ENG,DF,Ipswich Town,24,2000,6.0,327,71,188,126,14,5,327,1,1,100.0,0,0.0,153,596,247,1,0,0,4,1,207,1
154,Gonçalo Guedes,POR,"FW,MF",Wolves,27,1996,0.5,21,0,3,9,10,1,21,1,0,0.0,0,0.0,12,83,16,0,0,0,2,0,10,2
155,Marc Guéhi,ENG,DF,Crystal Palace,24,2000,6.0,437,82,268,159,13,3,437,2,2,100.0,0,0.0,230,1094,595,3,4,0,4,1,272,0
156,Bruno Guimarães,BRA,MF,Newcastle Utd,26,1997,6.0,360,20,100,198,64,1,360,14,11,78.6,1,7.1,241,1380,539,7,5,0,8,17,255,5
157,Marc Guiu,ESP,FW,Chelsea,18,2006,0.3,5,0,1,2,2,0,5,1,0,0.0,1,100.0,2,3,1,0,0,0,0,0,3,0
158,İlkay Gündoğan,GER,MF,Manchester City,33,1990,3.2,214,1,25,69,122,10,214,8,5,62.5,2,25.0,116,542,298,12,8,2,7,1,176,15
159,Malo Gusto,FRA,DF,Chelsea,21,2003,3.8,221,11,85,81,55,6,221,1,1,100.0,0,0.0,92,399,204,6,3,1,2,2,120,11
160,Joško Gvardiol,CRO,DF,Manchester City,22,2002,5.5,417,15,120,183,117,18,417,7,4,57.1,2,28.6,236,1250,726,13,14,3,4,6,294,10
161,Erling Haaland,NOR,FW,Manchester City,24,2000,6.0,122,6,7,36,79,46,121,11,4,36.4,6,54.5,60,262,101,5,0,5,8,8,101,26
162,Lewis Hall,ENG,DF,Newcastle Utd,20,2004,3.8,270,22,100,118,54,3,270,4,3,75.0,1,25.0,157,756,411,12,3,2,4,2,169,10
