Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
172,Son Heung-min,KOR,FW,Tottenham,32,1992,5.0,214,205,9,2,0,2,8,4,0,0,0,0,179,0,8
173,Jack Hinshelwood,ENG,"DF,MF",Brighton,19,2005,5.7,333,280,53,13,0,6,18,30,7,4,1,1,267,0,4
174,George Hirst,ENG,FW,Ipswich Town,25,1999,0.6,9,9,0,0,0,0,1,0,0,0,0,0,6,0,1
175,Mason Holgate,ENG,"FW,DF",Everton,27,1996,0.1,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0
176,Callum Hudson-Odoi,ENG,FW,Nott'ham Forest,23,2000,4.4,143,138,4,1,1,0,15,0,3,3,0,0,108,1,8
177,Will Hughes,ENG,MF,Crystal Palace,29,1995,2.3,124,116,5,1,0,0,6,0,3,2,1,0,102,3,2
178,Dean Huijsen,ESP,DF,Bournemouth,19,2005,2.2,132,131,1,1,0,1,0,0,0,0,0,0,113,0,1
179,Omari Hutchinson,ENG,"MF,FW",Ipswich Town,20,2003,5.9,160,146,11,0,2,1,9,0,0,0,0,0,122,3,11
180,Rasmus Højlund,DEN,FW,Manchester Utd,21,2003,0.4,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
181,Igor,BRA,DF,Brighton,26,1998,0.4,37,34,3,1,0,0,0,0,0,0,0,0,36,0,0
182,Danny Ings,ENG,"FW,MF",West Ham,32,1992,0.3,13,13,0,0,0,0,2,0,0,0,0,0,4,0,2
183,Tim Iroegbunam,ENG,MF,Everton,21,2003,4.0,94,92,0,0,0,0,0,0,0,0,0,0,67,2,4
184,Andy Irving,SCO,MF,West Ham,24,2000,0.2,22,22,0,0,0,0,0,0,0,0,0,0,22,0,0
185,Alexander Isak,SWE,FW,Newcastle Utd,25,1999,4.5,70,59,10,0,1,0,1,0,0,0,0,0,50,1,5
186,Alex Iwobi,NGA,FW,Fulham,28,1996,5.7,231,223,6,0,3,3,17,4,2,0,1,0,175,2,9
187,Nicolas Jackson,SEN,FW,Chelsea,23,2001,4.9,87,78,8,1,0,0,0,1,0,0,0,0,64,1,2
188,Vitaly Janelt,GER,"MF,DF",Brentford,26,1998,5.2,219,210,8,2,0,4,4,6,0,0,0,0,190,1,2
189,Daniel Jebbison,ENG,FW,Bournemouth,21,2003,0.3,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
190,Mathias Jensen,DEN,MF,Brentford,28,1996,2.6,113,88,25,5,0,2,11,15,4,3,0,0,80,0,2
191,Gabriel Jesus,BRA,"FW,MF",Arsenal,27,1997,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
192,Raúl Jiménez,MEX,FW,Fulham,33,1991,2.9,51,51,0,0,1,1,1,0,0,0,0,0,38,0,2
193,João Pedro,BRA,"MF,FW",Brighton,23,2001,3.1,99,92,7,1,0,1,4,3,1,0,0,0,75,0,2
194,Joelinton,BRA,MF,Newcastle Utd,28,1996,5.3,198,192,5,3,1,1,1,2,0,0,0,0,159,1,5
195,Ben Johnson,ENG,"DF,FW",Ipswich Town,24,2000,1.5,37,32,5,0,1,0,3,4,1,1,0,0,25,0,2
196,Brennan Johnson,WAL,FW,Tottenham,23,2001,4.7,139,138,1,0,0,0,11,1,0,0,0,0,103,0,7
197,Sam Johnstone,ENG,GK,Wolves,31,1993,4.0,157,130,27,12,0,0,0,0,0,0,0,0,109,0,2
198,Curtis Jones,ENG,MF,Liverpool,23,2001,0.7,35,34,1,0,0,0,1,1,0,0,0,0,31,0,0
199,Jorginho,ITA,MF,Arsenal,32,1991,1.0,24,23,1,0,0,0,0,0,0,0,0,0,19,0,1
200,Diogo Jota,POR,FW,Liverpool,27,1996,4.1,81,79,1,0,0,2,3,1,0,0,0,0,55,1,5
201,James Justin,ENG,DF,Leicester City,26,1998,6.0,228,189,38,6,0,0,8,32,0,0,0,0,181,1,3
202,Ferdi Kadioglu,TUR,DF,Brighton,24,1999,1.0,56,46,9,1,0,0,2,8,0,0,0,0,46,1,1
203,Daichi Kamada,JPN,MF,Crystal Palace,28,1996,4.0,190,184,6,2,1,1,9,1,3,1,0,0,148,0,5
204,Michael Keane,ENG,DF,Everton,31,1993,5.0,166,161,1,1,0,6,0,0,0,0,0,0,131,4,3
205,Caoimhín Kelleher,IRL,GK,Liverpool,25,1998,1.0,44,42,2,2,0,0,0,0,0,0,0,0,40,0,1
206,Lloyd Kelly,ENG,DF,Newcastle Utd,25,1998,2.3,93,75,18,5,0,0,1,13,0,0,0,0,76,0,4
207,Milos Kerkez,HUN,DF,Bournemouth,20,2003,4.7,201,165,35,2,0,0,13,33,0,0,0,0,149,1,3
208,Bilal El Khannouss,MAR,MF,Leicester City,20,2004,0.9,56,50,5,0,0,0,0,3,0,0,0,0,48,1,0
209,Max Kilman,ENG,DF,West Ham,27,1997,6.0,316,307,9,8,0,4,0,0,0,0,0,0,277,0,2
210,Jakub Kiwior,POL,DF,Arsenal,24,2000,0.2,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0
211,Justin Kluivert,NED,"MF,FW",Bournemouth,25,1999,3.4,92,82,7,0,0,0,9,1,1,0,0,0,61,3,5
212,Ibrahima Konaté,FRA,DF,Liverpool,25,1999,5.3,408,401,7,7,0,0,0,0,0,0,0,0,370,0,1
213,Ezri Konsa,ENG,DF,Aston Villa,26,1997,6.0,333,310,23,17,4,0,2,6,0,0,0,0,310,0,5
