stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,3.6,71,2,4,39,29,9,71,4,2,50.0,1,25.0,31,132.0,42.0,2,2,1,7,2,46,16
,,1.2,97,2,35,50,14,2,97,3,3,100.0,0,0.0,54,288.0,111.0,4,3,1,1,0,70,1
,,3.8,251,10,74,139,38,2,251,3,1,33.3,1,33.3,114,635.0,375.0,11,5,2,2,3,153,7
,,3.0,259,17,109,143,11,1,259,1,0,0.0,1,100.0,177,836.0,490.0,2,5,0,3,1,197,0
,,2.0,74,60,72,2,0,0,74,0,0,0.0,0,0.0,48,153.0,69.0,0,0,0,0,0,51,0
,,2.0,108,25,77,29,2,2,108,0,0,0.0,0,0.0,62,216.0,138.0,0,0,0,0,0,75,0
,,4.0,144,83,138,6,0,0,144,1,1,100.0,0,0.0,114,635.0,368.0,0,0,0,0,0,98,0
,,1.0,82,1,19,32,31,1,82,0,0,0.0,0,0.0,29,128.0,67.0,1,0,0,4,0,54,1
,,3.9,308,10,76,149,84,9,308,17,7,41.2,8,47.1,197,1367.0,691.0,21,6,5,0,10,232,14
,,1.0,45,39,45,0,0,0,45,0,0,0.0,0,0.0,26,95.0,48.0,0,0,0,0,0,21,0
,,2.3,106,12,36,45,27,0,106,7,5,71.4,0,0.0,46,390.0,236.0,6,1,0,2,6,49,4
,,0.2,16,0,3,11,2,0,16,0,0,0.0,0,0.0,6,38.0,30.0,1,0,0,0,0,8,0
,,1.0,49,2,9,33,8,0,49,0,0,0.0,0,0.0,17,35.0,16.0,0,0,0,1,0,22,0
,,3.0,54,0,3,20,32,16,54,4,0,0.0,4,100.0,29,131.0,62.0,2,4,2,6,8,45,11
,,0.2,34,0,14,18,2,1,34,0,0,0.0,0,0.0,22,157.0,110.0,0,0,0,0,0,29,1
,,3.7,101,0,6,54,41,14,101,6,2,33.3,4,66.7,54,244.0,82.0,3,2,2,7,4,71,14
,,0.5,47,0,3,12,32,4,47,4,1,25.0,2,50.0,24,195.0,89.0,4,3,2,1,0,38,11
,,3.8,263,6,53,149,64,4,263,6,0,0.0,6,100.0,146,604.0,301.0,3,6,1,3,6,175,4
,,4.0,216,14,62,112,43,3,216,2,0,0.0,1,50.0,107,389.0,202.0,1,3,1,4,1,131,8
,,1.0,82,5,25,44,14,0,82,2,0,0.0,2,100.0,49,226.0,85.0,0,2,0,0,4,59,0
,,3.1,146,14,54,53,43,7,146,5,2,40.0,1,20.0,66,308.0,164.0,7,1,2,0,3,68,10
,,0.7,32,1,3,13,18,5,32,4,2,50.0,1,25.0,25,206.0,87.0,7,3,2,2,1,29,9
,,0.4,24,0,4,11,10,6,24,0,0,0.0,0,0.0,14,76.0,21.0,2,1,3,5,0,17,6
,,4.0,240,10,69,154,21,0,240,1,1,100.0,0,0.0,123,612.0,232.0,1,1,0,2,2,164,2
,,3.2,106,2,11,54,44,18,106,4,2,50.0,0,0.0,72,492.0,248.0,6,4,2,8,2,81,11
,,3.5,98,3,7,51,40,14,98,3,1,33.3,1,33.3,61,278.0,64.0,4,2,2,9,2,83,12
,,3.0,183,55,115,64,4,2,183,0,0,0.0,0,0.0,105,461.0,219.0,2,2,0,0,0,119,0
,,0.1,5,1,1,2,2,0,5,0,0,0.0,0,0.0,3,10.0,0.0,0,0,0,1,0,3,0
,,2.5,127,10,26,60,44,6,127,6,2,33.3,3,50.0,64,413.0,222.0,5,6,1,5,2,80,0
,,1.7,84,5,26,44,14,0,84,0,0,0.0,0,0.0,25,123.0,81.0,1,1,0,1,0,34,2
,,4.0,223,32,115,106,4,2,223,1,0,0.0,0,0.0,121,805.0,506.0,1,1,0,1,1,120,0
,,0.9,69,5,20,37,13,2,69,1,1,100.0,0,0.0,33,232.0,64.0,1,2,0,1,1,37,2
,,2.8,95,3,10,43,43,12,95,9,5,55.6,4,44.4,55,193.0,67.0,1,1,0,5,3,65,12
,,2.8,127,1,11,55,64,16,127,9,5,55.6,4,44.4,83,575.0,216.0,8,2,5,2,6,94,11
