Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
102,Diego Coppola,it ITA,DF,Hellas Verona,20-277,2003,6.0,210,253,83.0,3867,1284,69,80,86.3,126,143,88.1,13,27,48.1,0,0.0,0.0,0.0,0,3,0,0,9,Matches
103,Joaquín Correa,ar ARG,"MF,FW",Inter,30-048,1994,0.2,8,10,80.0,113,58,4,5,80.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,2,1,0,4,Matches
104,Lassana Coulibaly,ml MLI,MF,Lecce,28-173,1996,2.8,93,102,91.2,1554,353,41,45,91.1,43,46,93.5,8,9,88.9,0,0.3,0.1,-0.3,2,12,1,0,13,Matches
105,Woyo Coulibaly,fr FRA,DF,Parma,25-133,1999,5.0,190,218,87.2,2859,1157,107,111,96.4,71,85,83.5,8,15,53.3,0,0.1,0.1,-0.1,2,14,2,0,18,Matches
106,Bryan Cristante,it ITA,MF,Roma,29-211,1995,5.6,291,345,84.3,5152,1301,121,135,89.6,145,158,91.8,22,37,59.5,0,0.1,0.3,-0.1,3,33,3,0,32,Matches
107,Domen Črnigoj,si SVN,MF,Venezia,28-317,1995,0.4,7,16,43.8,121,41,2,4,50.0,3,5,60.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,2,Matches
108,Juan Cuadrado,co COL,DF,Atalanta,36-127,1988,0.7,40,52,76.9,702,169,14,19,73.7,22,26,84.6,4,5,80.0,0,0.1,0.2,-0.1,3,1,4,0,7,Matches
109,Patrick Cutrone,it ITA,FW,Como,26-271,1998,5.2,68,102,66.7,832,106,44,56,78.6,18,28,64.3,0,3,0.0,0,0.3,0.3,-0.3,4,0,2,0,4,Matches
110,Wylan Cyprien,fr FRA,MF,Parma,29-246,1995,0.3,14,21,66.7,248,161,9,9,100.0,2,5,40.0,3,5,60.0,0,0.0,0.2,0.0,0,2,0,0,2,Matches
111,Danilo D'Ambrosio,it ITA,DF,Monza,36-021,1988,0.3,11,14,78.6,177,47,5,5,100.0,6,7,85.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
112,Lucas Da Cunha,fr FRA,"MF,FW",Como,23-113,2001,2.2,83,105,79.0,1439,381,37,41,90.2,36,41,87.8,7,13,53.8,0,0.3,0.7,-0.3,3,5,2,1,10,Matches
113,Thijs Dallinga,nl NED,"FW,MF",Bologna,24-058,2000,1.3,24,29,82.8,386,37,15,17,88.2,7,10,70.0,2,2,100.0,0,0.1,0.0,-0.1,2,1,0,0,0,Matches
