Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
69,Hakan Çalhanoğlu,tr TUR,MF,Inter,30-235,1994,5,5,367,4.1,1,0,1,0,1,1,1,0,0.9,0.1,0.7,0.8,5,30,14,0.25,0.00,0.25,0.00,0.00,0.21,0.17,0.38,0.02,0.19,Matches
70,Drissa Camara,ci CIV,FW,Parma,22-225,2002,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
71,Nicolò Cambiaghi,it ITA,FW,Bologna,23-277,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,4,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37,Matches
72,Andrea Cambiaso,it ITA,"DF,FW",Juventus,24-223,2000,6,5,461,5.1,1,0,1,1,0,0,1,0,0.2,0.2,0.6,0.8,15,18,18,0.20,0.00,0.20,0.20,0.20,0.03,0.13,0.16,0.03,0.16,Matches
73,Matteo Cancellieri,it ITA,"FW,MF",Parma,22-231,2002,5,1,156,1.7,1,0,1,1,0,0,0,1,0.8,0.8,0.0,0.8,7,4,13,0.58,0.00,0.58,0.58,0.58,0.47,0.01,0.48,0.47,0.48,Matches
74,Antonio Candela,it ITA,DF,Venezia,24-156,2000,5,5,439,4.9,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,3,4,7,0.00,0.21,0.21,0.00,0.21,0.03,0.06,0.09,0.03,0.09,Matches
75,Gianluca Caprari,it ITA,MF,Monza,31-062,1993,6,2,202,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,5,16,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Elia Caprile,it ITA,GK,Napoli,23-036,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Francesco Caputo,it ITA,FW,Empoli,37-055,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
