Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
106,Bryan Cristante,it ITA,MF,Roma,29-211,1995,5.6,1,8,2,25.0,1.43,0.36,0.13,0.50,15.9,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
107,Domen Črnigoj,si SVN,MF,Venezia,28-317,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
108,Juan Cuadrado,co COL,DF,Atalanta,36-127,1988,0.7,0,3,1,33.3,4.22,1.41,0.00,0.00,12.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
109,Patrick Cutrone,it ITA,FW,Como,26-271,1998,5.2,4,17,9,52.9,3.24,1.72,0.24,0.44,18.1,0,0,1,2.4,1.6,0.10,+1.6,+2.4,Matches
110,Wylan Cyprien,fr FRA,MF,Parma,29-246,1995,0.3,0,1,0,0.0,3.21,0.00,0.00,,15.2,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
111,Danilo D'Ambrosio,it ITA,DF,Monza,36-021,1988,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
112,Lucas Da Cunha,fr FRA,"MF,FW",Como,23-113,2001,2.2,0,5,1,20.0,2.25,0.45,0.00,0.00,22.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
113,Thijs Dallinga,nl NED,"FW,MF",Bologna,24-058,2000,1.3,0,3,1,33.3,2.29,0.76,0.00,0.00,9.7,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
114,Flavius Daniliuc,at AUT,DF,Hellas Verona,23-156,2001,2.8,0,1,0,0.0,0.36,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
115,Danilo,br BRA,DF,Juventus,33-077,1991,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
116,Matteo Darmian,it ITA,DF,Inter,34-303,1989,4.4,1,3,1,33.3,0.68,0.23,0.33,1.00,9.6,0,0,0,0.6,0.6,0.20,+0.4,+0.4,Matches
117,Juan David Cabal,co COL,DF,Juventus,23-266,2001,2.3,0,2,0,0.0,0.85,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
118,Keinan Davis,eng ENG,FW,Udinese,26-230,1998,1.8,0,4,0,0.0,2.17,0.00,0.00,,7.1,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
119,Paweł Dawidowicz,pl POL,DF,Hellas Verona,29-133,1995,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
120,Charles De Ketelaere,be BEL,"FW,MF",Atalanta,23-204,2001,4.5,1,10,5,50.0,2.24,1.12,0.10,0.20,11.5,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
121,Mattia De Sciglio,it ITA,DF,Empoli,31-346,1992,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,Lorenzo De Silvestri,it ITA,DF,Bologna,36-130,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
123,Koni De Winter,be BEL,DF,Genoa,22-110,2002,6.0,1,4,2,50.0,0.67,0.33,0.25,0.50,8.7,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches
124,Alessandro Deiola,it ITA,MF,Cagliari,29-060,1995,4.2,0,5,0,0.0,1.18,0.00,0.00,,14.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
125,Enrico Del Prato,it ITA,DF,Parma,24-325,1999,3.2,1,1,1,100.0,0.32,0.32,1.00,1.00,8.6,0,0,0,0.1,0.1,0.11,+0.9,+0.9,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
126,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,23-237,2001,1.8,0,2,0,0.0,1.13,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
127,Ali Dembélé,fr FRA,DF,Torino,20-269,2004,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
128,Michele Di Gregorio,it ITA,GK,Juventus,27-065,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
129,Giovanni Di Lorenzo,it ITA,DF,Napoli,31-057,1993,6.0,2,4,2,50.0,0.67,0.33,0.50,1.00,16.4,0,0,0,0.9,0.9,0.22,+1.1,+1.1,Matches
130,Boulaye Dia,sn SEN,"FW,MF",Lazio,27-319,1996,3.7,3,8,6,75.0,2.15,1.61,0.38,0.50,14.8,0,0,0,1.5,1.5,0.19,+1.5,+1.5,Matches
