Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
96,Pathé Ciss,SEN,MF,Rayo Vallecano,30,1994,3.2,0,4,0,0.0,1.23,0.0,0.0,0.0,17.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3
97,Seydouba Cissé,GUI,MF,Leganés,23,2001,5.8,0,3,0,0.0,0.51,0.0,0.0,0.0,24.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
98,Eray Cömert,SUI,"DF,MF",Valladolid,26,1998,5.7,0,4,0,0.0,0.7,0.0,0.0,0.0,20.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3
99,Santi Comesaña,ESP,MF,Villarreal,27,1996,6.3,0,4,0,0.0,0.63,0.0,0.0,0.0,15.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
100,Diego Conde,ESP,GK,Villarreal,25,1998,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
101,Tomás Conechny,ARG,"FW,MF",Alavés,26,1998,4.0,1,12,5,41.7,3.03,1.26,0.08,0.2,16.0,0,0,0,1.2,1.2,0.1,-0.2,-0.2
102,Copete,ESP,DF,Mallorca,24,1999,2.4,0,3,2,66.7,1.24,0.83,0.0,0.0,8.3,0,0,0,0.4,0.4,0.12,-0.4,-0.4
103,Ángel Correa,ARG,"FW,MF",Atlético Madrid,29,1995,2.1,2,9,3,33.3,4.26,1.42,0.22,0.67,12.4,0,0,0,2.1,2.1,0.24,-0.1,-0.1
104,Thierry Correia,POR,DF,Valencia,25,1999,6.1,0,4,2,50.0,0.65,0.33,0.0,0.0,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
105,Logan Costa,CPV,DF,Villarreal,23,2001,4.2,1,2,1,50.0,0.48,0.24,0.5,1.0,7.2,0,0,0,0.3,0.3,0.13,0.7,0.7
106,Samu Costa,POR,MF,Mallorca,23,2000,8.0,0,13,5,38.5,1.63,0.63,0.0,0.0,21.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8
107,Thibaut Courtois,BEL,GK,Real Madrid,32,1992,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
108,Juan Cruz Armada,ESP,DF,Osasuna,32,1992,2.3,0,1,0,0.0,0.44,0.0,0.0,0.0,15.8,0,0,0,0.0,0.0,0.02,0.0,0.0
109,Juan Cruz,ESP,"FW,MF",Leganés,24,2000,4.8,3,10,6,60.0,2.08,1.25,0.3,0.5,20.2,0,0,0,0.9,0.9,0.09,2.1,2.1
110,Pau Cubarsí,ESP,DF,Barcelona,17,2007,6.4,0,3,0,0.0,0.47,0.0,0.0,0.0,9.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
111,Arnaut Danjuma,NED,FW,Villarreal,27,1997,2.2,2,6,3,50.0,2.7,1.35,0.33,0.67,13.9,0,0,0,0.8,0.8,0.14,1.2,1.2
112,Arnaut Danjuma,NED,"FW,MF",Girona,27,1997,3.0,0,4,1,25.0,1.32,0.33,0.0,0.0,16.1,0,0,0,0.4,0.4,0.11,-0.4,-0.4
113,Sergi Darder,ESP,"MF,FW",Mallorca,30,1993,5.9,0,4,2,50.0,0.68,0.34,0.0,0.0,27.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
114,Rodrigo De Paul,ARG,MF,Atlético Madrid,30,1994,3.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
115,Assane Diao,ESP,FW,Betis,19,2005,1.9,0,3,0,0.0,1.54,0.0,0.0,0.0,12.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3
116,Moussa Diarra,MLI,DF,Alavés,23,2000,3.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
117,Brahim Díaz,MAR,"FW,MF",Real Madrid,25,1999,1.3,1,1,1,100.0,0.75,0.75,1.0,1.0,14.0,0,0,0,0.3,0.3,0.3,0.7,0.7
118,Pedro Díaz,ESP,"MF,FW",Rayo Vallecano,26,1998,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
119,Diego,ESP,"FW,MF",Leganés,24,2000,1.3,0,6,2,33.3,4.78,1.59,0.0,0.0,14.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
120,Álvaro djaló,ESP,FW,Athletic Club,25,1999,1.7,1,3,2,66.7,1.76,1.18,0.33,0.5,22.5,0,0,0,0.2,0.2,0.07,0.8,0.8
121,Djené,TOG,DF,Getafe,32,1991,7.7,0,3,0,0.0,0.39,0.0,0.0,0.0,18.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
122,Marko Dmitrović,SRB,GK,Leganés,32,1992,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
