Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
90,Pep Chavarría,ESP,"DF,MF",Rayo Vallecano,26,1998,6,3,307,3.4,0,0.0,1,0.29,1,0.29,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.02,0.1,0.02,10,15,16,0.29,0.02
91,Walid Cheddira,MAR,FW,Espanyol,26,1998,6,2,212,2.4,0,0.0,1,0.42,1,0.42,0,0.0,0,0,1,0,0.1,0.04,0.1,0.04,0.6,0.26,0.7,0.3,2,3,13,0.42,0.3
92,Julián Chicco,ARG,MF,Leganés,26,1998,3,1,112,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,2,0.0,0.0
93,Chiquinho,POR,"FW,MF",Mallorca,24,2000,2,0,30,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,0.0,0.0
94,Andreas Christensen,DEN,DF,Barcelona,28,1996,1,0,27,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
95,Jasper Cillessen,NED,GK,Las Palmas,35,1989,7,7,630,7.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
96,Pathé Ciss,SEN,MF,Rayo Vallecano,30,1994,6,3,292,3.2,0,0.0,1,0.31,1,0.31,0,0.0,0,0,2,0,0.3,0.09,0.3,0.09,0.5,0.14,0.8,0.23,2,22,2,0.31,0.23
97,Seydouba Cissé,GUI,MF,Leganés,23,2001,8,6,526,5.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,0.2,0.03,0.2,0.04,9,30,12,0.0,0.04
98,Eray Cömert,SUI,"DF,MF",Valladolid,26,1998,7,6,517,5.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.3,0.05,0.3,0.05,0.0,0.0,0.3,0.05,2,9,1,0.0,0.05
99,Santi Comesaña,ESP,MF,Villarreal,27,1996,7,7,568,6.3,0,0.0,1,0.16,1,0.16,0,0.0,0,0,1,0,0.2,0.02,0.2,0.02,0.5,0.08,0.7,0.1,11,43,13,0.16,0.1
