Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
149,Conor Gallagher,ENG,MF,Atlético Madrid,24,2000,4.9,8,1.63,5,0,1,0,2,0,0,0.0,0,0,0,0,0,0
150,Álvaro García,ESP,"FW,MF",Rayo Vallecano,31,1992,3.8,13,3.4,10,0,1,0,1,1,1,0.26,1,0,0,0,0,0
151,Eric García,ESP,MF,Barcelona,23,2001,4.0,7,1.76,5,0,0,2,0,0,3,0.75,2,0,0,1,0,0
152,Fran Garcia,ESP,DF,Real Madrid,25,1999,2.8,10,3.56,8,0,0,2,0,0,0,0.0,0,0,0,0,0,0
153,Joan García,ESP,GK,Espanyol,23,2001,8.0,1,0.12,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
154,Rubén García,ESP,"FW,MF",Osasuna,31,1993,5.3,19,3.56,10,7,0,1,1,0,2,0.37,1,0,0,1,0,0
155,Yarek Gasiorowski,ESP,DF,Valencia,19,2005,2.0,3,1.5,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
156,Paulo Gazzaniga,ARG,GK,Girona,32,1992,8.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
157,Bryan Gil,ESP,"FW,MF",Girona,23,2001,5.4,22,4.07,16,1,3,0,1,1,2,0.37,2,0,0,0,0,0
158,Dani Gómez,ESP,FW,Valencia,26,1998,3.4,1,0.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
159,Moi Gómez,ESP,"MF,FW",Osasuna,30,1994,3.3,7,2.13,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0
160,Sergi Gómez,ESP,DF,Espanyol,32,1992,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
161,Sergio Gómez,ESP,"MF,FW",Real Sociedad,24,2000,6.6,25,3.76,13,9,1,1,1,0,4,0.6,4,0,0,0,0,0
162,Unai Gómez,ESP,"MF,FW",Athletic Club,21,2003,2.7,6,2.23,2,2,1,0,1,0,0,0.0,0,0,0,0,0,0
163,Fabio González,ESP,MF,Las Palmas,27,1997,0.5,2,4.0,2,0,0,0,0,0,1,2.0,1,0,0,0,0,0
164,Urko González,ESP,MF,Real Sociedad,23,2001,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
165,Andoni Gorosabel,ESP,DF,Athletic Club,28,1996,2.0,3,1.47,3,0,0,0,0,0,1,0.49,1,0,0,0,0,0
166,José Gragera,ESP,MF,Espanyol,23,2000,4.8,6,1.24,4,0,0,0,1,1,0,0.0,0,0,0,0,0,0
167,Dominik Greif,SVK,GK,Mallorca,27,1997,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
168,Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,33,1991,6.5,23,3.54,18,5,0,0,0,0,4,0.62,4,0,0,0,0,0
169,Vicente Guaita,ESP,GK,Celta Vigo,37,1987,4.0,1,0.25,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
170,Sergi Guardiola,ESP,FW,Rayo Vallecano,33,1991,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
