Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
396,Brian Oliván,ESP,DF,Espanyol,30,1994.0,5,173.0,35.0,24.0,1.9,2,59.0,0,3,19.0,3,1.4,2.0,4.0,-2.0,-1.04,1.6,3.1,-1.5,-0.72
397,Lucas Oliveira Rosa,BRA,DF,Valladolid,24,2000.0,8,720.0,90.0,100.0,8.0,8,90.0,8,0,0.0,0,0.63,4.0,17.0,-13.0,-1.62,6.2,15.2,-9.1,-1.13
398,Dani Olmo,ESP,MF,Barcelona,26,1998.0,3,187.0,62.0,26.0,2.1,2,71.0,0,1,45.0,0,3.0,11.0,0.0,11.0,5.29,6.6,1.3,5.2,2.51
399,Aimar Oroz,ESP,"MF,FW",Osasuna,22,2001.0,8,619.0,77.0,86.0,6.9,8,77.0,2,0,0.0,0,1.75,12.0,9.0,3.0,0.44,7.9,8.0,-0.1,-0.02
400,Eneko Ortiz,ESP,MF,Alavés,21,2003.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,Pedro Ortiz,ESP,MF,Sevilla,24,2000.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,Gabriel Osei Misehouy,NED,"FW,MF",Girona,19,2005.0,3,65.0,22.0,9.0,0.7,0,0.0,0,3,22.0,4,0.67,1.0,0.0,1.0,1.38,2.4,0.8,1.6,2.21
403,David Otorbi,ESP,MF,Valencia,16,2007.0,1,14.0,14.0,1.9,0.2,0,0.0,0,1,14.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.3,-2.0
404,Jesús Owono,EQG,GK,Alavés,23,2001.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,Mikel Oyarzabal,ESP,FW,Real Sociedad,27,1997.0,6,325.0,54.0,45.1,3.6,5,59.0,0,1,30.0,1,1.17,1.0,2.0,-1.0,-0.28,4.3,3.5,0.8,0.21
406,Cenk Özkacar,TUR,DF,Valladolid,23,2000.0,3,106.0,35.0,14.7,1.2,2,52.0,1,1,3.0,0,0.33,1.0,3.0,-2.0,-1.7,0.5,1.9,-1.4,-1.19
407,Cenk Özkacar,TUR,DF,Valencia,23,2000.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,Fernando Pacheco,ESP,GK,Espanyol,32,1992.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
