Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
401,Antonio Sivera,ESP,GK,Alavés,28,1996,8.0,256,176,247,10,0,0,256,0,0,0.0,0,0.0,109,622,407,0,0,0,0,0,83,0
402,Alex Sola,ESP,"MF,FW",Getafe,25,1999,6.0,209,6,41,70,103,16,209,33,11,33.3,18,54.5,122,681,273,10,4,6,32,10,127,23
403,Jhon Solis,COL,MF,Girona,19,2004,3.2,205,7,46,122,39,1,205,7,4,57.1,2,28.6,136,732,322,0,5,0,6,8,160,8
404,David Soria,ESP,GK,Getafe,31,1993,8.0,193,159,188,5,0,0,193,0,0,0.0,0,0.0,80,478,285,0,0,0,1,0,46,0
405,Juan Soriano,ESP,GK,Leganés,27,1997,6.0,199,173,199,0,0,0,199,0,0,0.0,0,0.0,90,447,281,0,0,0,0,0,59,0
406,Hugo Sotelo,ESP,MF,Celta Vigo,20,2003,2.8,248,2,35,161,54,0,248,1,1,100.0,0,0.0,178,787,267,3,7,0,2,1,199,10
407,Djibril Sow,SUI,MF,Sevilla,27,1997,4.1,208,4,40,132,41,8,208,3,0,0.0,2,66.7,115,595,290,5,5,1,8,3,149,10
408,Carl Starfelt,SWE,DF,Celta Vigo,29,1995,5.2,461,58,227,233,5,4,461,0,0,0.0,0,0.0,323,1317,738,1,0,0,2,0,361,1
409,Orri Steinn Óskarsson,ISL,FW,Real Sociedad,20,2004,1.9,47,1,2,16,29,8,47,0,0,0.0,0,0.0,18,61,16,0,1,0,4,2,32,9
410,Stoichkov,ESP,"MF,FW",Alavés,30,1993,5.0,191,4,23,82,88,20,191,13,3,23.1,8,61.5,111,572,204,6,4,3,14,3,119,25
411,Cristhian Stuani,URU,FW,Girona,37,1986,1.1,22,1,2,5,15,7,22,0,0,0.0,0,0.0,13,40,4,0,0,0,3,0,16,3
412,Álex Suárez,ESP,DF,Las Palmas,31,1993,4.2,301,46,187,106,8,2,301,0,0,0.0,0,0.0,163,736,423,1,0,0,1,0,198,0
413,Denis Suárez,ESP,MF,Villarreal,30,1994,0.4,16,0,3,5,8,2,16,2,2,100.0,0,0.0,13,127,52,1,2,1,1,0,13,2
414,Luka Sučić,CRO,MF,Real Sociedad,22,2002,3.4,195,2,20,111,67,7,195,4,1,25.0,2,50.0,113,581,229,2,4,0,2,2,148,14
415,Suso,ESP,"FW,MF",Sevilla,30,1993,0.7,59,0,7,24,30,1,59,8,4,50.0,4,50.0,35,219,126,3,2,0,2,2,37,3
416,Williot Swedberg,SWE,"FW,MF",Celta Vigo,20,2004,3.5,133,0,10,45,78,19,133,9,2,22.2,5,55.6,89,575,245,6,5,5,12,3,108,29
417,Mamadou Sylla,SEN,FW,Valladolid,30,1994,2.4,50,0,6,18,26,8,50,1,0,0.0,0,0.0,17,53,24,1,0,1,3,1,35,10
418,Alexander Sørloth,NOR,FW,Atlético Madrid,28,1995,4.6,143,5,12,70,63,25,143,6,3,50.0,2,33.3,73,361,131,4,4,2,18,8,113,21
419,Renato Tapia,PER,"MF,FW",Leganés,29,1995,3.1,209,16,67,120,23,2,209,4,1,25.0,3,75.0,97,536,269,4,3,0,6,2,116,6
420,César Tárrega,ESP,DF,Valencia,22,2002,6.0,352,48,186,161,9,5,352,2,2,100.0,0,0.0,192,1043,625,5,2,0,5,0,236,0
421,Aurélien Tchouaméni,FRA,"MF,DF",Real Madrid,24,2000,6.7,579,24,109,401,76,7,579,4,3,75.0,1,25.0,356,1840,950,9,3,1,7,3,444,3
422,Álvaro Tejero,ESP,"MF,DF",Espanyol,28,1996,4.5,227,12,43,106,83,6,227,5,1,20.0,4,80.0,96,592,282,7,2,1,6,3,125,19
423,Martín Tejón,ESP,"MF,DF",Valencia,20,2004,0.5,34,1,3,14,18,2,34,4,2,50.0,2,50.0,17,93,36,0,0,0,1,3,23,6
424,Nahuel Tenaglia,ARG,DF,Alavés,28,1996,6.0,276,20,98,101,78,6,276,5,2,40.0,2,40.0,108,664,287,7,8,1,8,1,113,23
425,Marc-André ter Stegen,GER,GK,Barcelona,32,1992,5.5,212,155,212,0,0,0,212,0,0,0.0,0,0.0,140,679,512,0,0,0,0,0,134,0
426,Ramón Terrats,ESP,MF,Villarreal,23,2000,0.6,44,8,18,19,7,0,44,2,1,50.0,1,50.0,25,96,31,0,0,0,1,2,25,2
427,Pablo Torre,ESP,MF,Barcelona,21,2003,2.1,136,3,14,63,60,3,136,3,1,33.3,2,66.7,69,265,109,3,4,0,4,4,102,8
428,David Torres,ESP,DF,Valladolid,21,2003,2.7,131,22,78,52,2,2,131,0,0,0.0,0,0.0,52,323,172,0,0,0,0,2,73,0
