Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
140,Pablo Fornals,ESP,"FW,MF",Betis,28,1996,5.8,1,0,0,6,4,1,29,7,6,0,0,0,27,9,1,90.0
141,Héctor Fort,ESP,DF,Barcelona,18,2006,0.5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0.0
142,Dimitri Foulquier,FRA,DF,Valencia,31,1993,3.8,1,0,0,3,6,0,15,0,7,0,0,0,17,2,0,100.0
143,Alejandro Francés,ESP,DF,Girona,22,2002,4.9,1,0,0,11,7,0,7,8,7,0,0,0,17,1,3,25.0
144,Enric Franquesa,ESP,"FW,DF",Leganés,27,1997,4.0,1,0,0,6,3,0,6,1,6,0,0,0,20,4,3,57.1
145,Jorge de Frutos,ESP,"MF,FW",Rayo Vallecano,27,1997,5.7,0,0,0,10,8,1,8,5,8,0,0,0,35,1,3,25.0
146,Manuel Fuster,ESP,"FW,MF",Las Palmas,26,1997,0.9,0,0,0,3,4,0,7,0,0,0,0,0,4,0,1,0.0
147,Javi Galán,ESP,DF,Atlético Madrid,29,1994,0.2,0,0,0,0,0,0,0,2,1,0,0,0,1,1,2,33.3
148,Iñigo Ruiz de Galarreta,ESP,MF,Athletic Club,31,1993,2.0,1,0,0,3,3,0,3,1,1,0,0,0,16,0,0,0.0
149,Conor Gallagher,ENG,MF,Atlético Madrid,24,2000,4.9,1,0,0,8,12,0,2,7,11,0,0,0,20,5,8,38.5
150,Álvaro García,ESP,"FW,MF",Rayo Vallecano,31,1992,3.8,1,0,0,2,2,2,16,6,6,0,0,0,21,1,3,25.0
151,Eric García,ESP,MF,Barcelona,23,2001,4.0,0,0,0,4,3,0,1,4,4,0,0,0,10,10,9,52.6
152,Fran Garcia,ESP,DF,Real Madrid,25,1999,2.8,0,0,0,1,4,1,11,2,4,0,0,0,16,1,2,33.3
153,Joan García,ESP,GK,Espanyol,23,2001,8.0,1,0,0,0,1,0,0,0,0,0,0,0,10,5,0,100.0
154,Rubén García,ESP,"FW,MF",Osasuna,31,1993,5.3,1,0,0,9,7,3,24,4,8,0,0,0,29,5,9,35.7
155,Yarek Gasiorowski,ESP,DF,Valencia,19,2005,2.0,0,0,0,0,0,0,0,1,4,0,0,0,7,6,3,66.7
