Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
105,Pape Daouda Diongue,SEN,MF,Strasbourg,,0.0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,100.0
106,Mohammed Daramy,DEN,FW,Reims,22,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
107,Jonathan David,CAN,FW,Lille,24,2000.0,4.1,0,0,0,3,5,2,0,1,1,0,0,0,6,2,7,22.2
108,Zuriko Davitashvili,GEO,"MF,FW",Saint-Étienne,23,2001.0,5.7,0,0,0,3,6,1,12,3,4,0,0,0,20,5,10,33.3
109,Thibault De Smet,BEL,DF,Reims,26,1998.0,0.1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0.0
110,Romain Del Castillo,FRA,FW,Brest,28,1996.0,4.5,0,0,0,2,7,0,31,1,5,0,0,0,29,2,2,50.0
111,Ousmane Dembélé,FRA,FW,Paris S-G,27,1997.0,3.8,1,0,0,1,7,3,20,3,2,1,0,0,8,0,0,0.0
112,Arthur Desmas,FRA,GK,Le Havre,30,1994.0,6.0,1,0,0,1,2,0,0,0,0,0,1,0,6,0,0,0.0
113,Mamadou Diakhon,FRA,"FW,MF",Reims,19,2005.0,0.5,0,0,0,0,2,0,1,0,2,0,0,0,2,0,2,0.0
114,Bafodé Diakité,FRA,DF,Lille,23,2001.0,6.0,2,0,0,9,4,1,0,5,4,0,0,0,36,13,5,72.2
115,Oumar Diakité,CIV,FW,Reims,20,2003.0,4.7,2,0,0,8,3,2,1,0,4,0,0,0,20,7,14,33.3
116,Habib Diarra,SEN,"MF,FW",Strasbourg,20,2004.0,5.3,1,0,0,7,11,0,4,0,1,0,0,0,14,6,4,60.0
117,Krépin Diatta,SEN,DF,Monaco,25,1999.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,100.0
118,Kandet Diawara,GUI,FW,Le Havre,24,2000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
119,Mahamadou Diawara,FRA,MF,Lyon,19,2005.0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.0
120,Bamba Dieng,SEN,FW,Angers,24,2000.0,2.3,1,0,0,4,5,0,1,0,0,1,0,0,1,4,7,36.4
121,Sinaly Diomande,CIV,DF,Auxerre,23,2001.0,3.3,2,0,0,6,4,0,0,3,3,0,0,0,12,6,5,54.5
122,Lois Diony,FRA,FW,Angers,31,1992.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
123,Sofiane Diop,FRA,"FW,MF",Nice,24,2000.0,0.4,0,0,0,1,1,0,1,0,1,0,0,0,4,0,0,0.0
124,Andy Diouf,FRA,MF,Lens,21,2003.0,5.1,0,0,0,9,3,0,6,2,7,0,0,0,35,5,8,38.5
125,Yehvann Diouf,FRA,GK,Reims,24,1999.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0.0
126,Assane Dioussé,SEN,MF,Auxerre,27,1997.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
127,Gianluigi Donnarumma,ITA,GK,Paris S-G,25,1999.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0
128,Désiré Doué,FRA,FW,Paris S-G,19,2005.0,1.6,0,0,0,5,5,0,7,0,1,0,0,0,4,0,0,0.0
129,Guela Doué,CIV,DF,Strasbourg,21,2002.0,6.0,3,0,0,12,5,0,3,8,10,0,0,0,41,11,4,73.3
130,Douglas,BRA,MF,Nantes,27,1997.0,4.6,2,0,0,8,11,0,4,2,5,0,0,0,13,3,10,23.1
131,Ismaël Doukouré,FRA,MF,Strasbourg,21,2003.0,5.5,2,0,0,3,5,0,0,6,5,0,0,0,16,3,2,60.0
132,Kamory Doumbia,MLI,MF,Brest,21,2003.0,1.3,0,0,0,3,0,0,3,3,4,0,0,0,7,2,2,50.0
133,Jean-Kevin Duverne,HAI,DF,Nantes,27,1997.0,3.6,1,0,0,6,3,0,6,4,9,0,0,0,10,4,2,66.7
134,Stefan Džodić,SRB,DF,Montpellier,19,2005.0,1.0,1,0,0,1,0,0,0,2,2,0,0,0,5,0,2,0.0
135,Aron Dønnum,NOR,"DF,MF",Toulouse,26,1998.0,4.1,3,0,0,9,5,0,15,2,3,0,0,0,19,2,3,40.0
136,Jacques Ekomie,GAB,DF,Angers,21,2003.0,2.5,0,0,0,3,3,0,10,2,5,0,0,0,6,3,3,50.0
137,Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,22,2002.0,3.0,1,0,0,4,3,0,0,3,4,0,0,0,11,1,2,33.3
138,Breel Embolo,SUI,FW,Monaco,27,1997.0,3.7,1,0,0,5,8,2,1,1,0,0,0,0,11,7,5,58.3
139,Emanuel Emegha,NED,FW,Strasbourg,21,2003.0,5.6,1,0,0,11,13,3,0,0,4,0,0,0,11,7,7,50.0
140,Romain Faivre,FRA,"MF,FW",Brest,26,1998.0,2.9,1,0,0,2,9,0,4,3,6,0,0,0,12,3,4,42.9
141,Khalil Fayad,FRA,"MF,FW",Montpellier,20,2004.0,2.8,0,0,0,8,12,0,2,1,7,0,0,0,16,1,1,50.0
142,Zinedine Ferhat,ALG,"FW,MF",Angers,31,1993.0,1.8,0,0,0,3,7,0,15,1,0,0,0,0,14,3,0,100.0
143,Edimilson Fernandes,SUI,MF,Brest,28,1996.0,1.6,0,0,0,3,2,0,1,3,2,0,1,0,7,2,2,50.0
