Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
111,Ousmane Dembélé,FRA,FW,Paris S-G,27,1997.0,3.8,4,19,10,52.6,5.03,2.65,0.21,0.4,14.6,0,0,0,2.5,2.5,0.13,1.5,1.5
112,Arthur Desmas,FRA,GK,Le Havre,30,1994.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
113,Mamadou Diakhon,FRA,"FW,MF",Reims,19,2005.0,0.5,0,2,2,100.0,4.29,4.29,0.0,0.0,17.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
114,Bafodé Diakité,FRA,DF,Lille,23,2001.0,6.0,1,4,2,50.0,0.67,0.33,0.25,0.5,8.1,0,0,0,0.9,0.9,0.22,0.1,0.1
115,Oumar Diakité,CIV,FW,Reims,20,2003.0,4.7,1,6,3,50.0,1.27,0.64,0.17,0.33,10.7,0,0,0,1.0,1.0,0.16,0.0,0.0
116,Habib Diarra,SEN,"MF,FW",Strasbourg,20,2004.0,5.3,1,8,4,50.0,1.51,0.75,0.13,0.25,20.6,0,0,0,0.7,0.7,0.08,0.3,0.3
117,Krépin Diatta,SEN,DF,Monaco,25,1999.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
118,Kandet Diawara,GUI,FW,Le Havre,24,2000.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
119,Mahamadou Diawara,FRA,MF,Lyon,19,2005.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
120,Bamba Dieng,SEN,FW,Angers,24,2000.0,2.3,1,4,2,50.0,1.71,0.86,0.25,0.5,20.8,1,0,0,0.6,0.6,0.14,0.4,0.4
121,Sinaly Diomande,CIV,DF,Auxerre,23,2001.0,3.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
122,Lois Diony,FRA,FW,Angers,31,1992.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
123,Sofiane Diop,FRA,"FW,MF",Nice,24,2000.0,0.4,1,1,1,100.0,2.65,2.65,1.0,1.0,2.5,0,0,0,0.9,0.9,0.93,0.1,0.1
124,Andy Diouf,FRA,MF,Lens,21,2003.0,5.1,0,6,0,0.0,1.17,0.0,0.0,0.0,26.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
125,Yehvann Diouf,FRA,GK,Reims,24,1999.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
126,Assane Dioussé,SEN,MF,Auxerre,27,1997.0,0.1,0,1,1,100.0,15.0,15.0,0.0,0.0,28.9,0,0,0,0.0,0.0,0.0,0.0,0.0
127,Gianluigi Donnarumma,ITA,GK,Paris S-G,25,1999.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
128,Désiré Doué,FRA,FW,Paris S-G,19,2005.0,1.6,0,9,4,44.4,5.51,2.45,0.0,0.0,19.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5
129,Guela Doué,CIV,DF,Strasbourg,21,2002.0,6.0,0,3,1,33.3,0.5,0.17,0.0,0.0,9.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2
130,Douglas,BRA,MF,Nantes,27,1997.0,4.6,1,10,3,30.0,2.17,0.65,0.1,0.33,13.7,0,0,0,1.1,1.1,0.11,-0.1,-0.1
131,Ismaël Doukouré,FRA,MF,Strasbourg,21,2003.0,5.5,0,1,0,0.0,0.18,0.0,0.0,0.0,22.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
132,Kamory Doumbia,MLI,MF,Brest,21,2003.0,1.3,0,2,1,50.0,1.54,0.77,0.0,0.0,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
133,Jean-Kevin Duverne,HAI,DF,Nantes,27,1997.0,3.6,0,2,0,0.0,0.55,0.0,0.0,0.0,17.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
134,Stefan Džodić,SRB,DF,Montpellier,19,2005.0,1.0,0,1,0,0.0,1.0,0.0,0.0,0.0,31.5,0,0,0,0.0,0.0,0.01,0.0,0.0
135,Aron Dønnum,NOR,"DF,MF",Toulouse,26,1998.0,4.1,0,1,0,0.0,0.24,0.0,0.0,0.0,30.1,0,0,0,0.0,0.0,0.02,0.0,0.0
136,Jacques Ekomie,GAB,DF,Angers,21,2003.0,2.5,0,1,0,0.0,0.41,0.0,0.0,0.0,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0
137,Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,22,2002.0,3.0,0,1,0,0.0,0.33,0.0,0.0,0.0,24.4,0,0,0,0.0,0.0,0.02,0.0,0.0
138,Breel Embolo,SUI,FW,Monaco,27,1997.0,3.7,0,12,2,16.7,3.25,0.54,0.0,0.0,10.1,0,0,0,2.5,2.5,0.21,-2.5,-2.5
139,Emanuel Emegha,NED,FW,Strasbourg,21,2003.0,5.6,3,15,12,80.0,2.68,2.15,0.2,0.25,13.2,0,0,0,3.8,3.8,0.25,-0.8,-0.8
140,Romain Faivre,FRA,"MF,FW",Brest,26,1998.0,2.9,1,5,1,20.0,1.7,0.34,0.2,1.0,15.1,0,0,0,0.6,0.6,0.12,0.4,0.4
141,Khalil Fayad,FRA,"MF,FW",Montpellier,20,2004.0,2.8,0,3,1,33.3,1.06,0.35,0.0,0.0,23.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
142,Zinedine Ferhat,ALG,"FW,MF",Angers,31,1993.0,1.8,1,5,3,60.0,2.78,1.67,0.2,0.33,20.2,1,0,0,0.3,0.3,0.06,0.7,0.7
143,Edimilson Fernandes,SUI,MF,Brest,28,1996.0,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
144,Matias Fernandez-Pardo,BEL,FW,Lille,19,2005.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
145,Jordan Ferri,FRA,MF,Montpellier,32,1992.0,3.0,0,1,1,100.0,0.33,0.33,0.0,0.0,34.1,0,0,0,0.0,0.0,0.02,0.0,0.0
