Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
158,André Gomes,POR,MF,Lille,31,1993.0,1.7,7,4.04,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
159,Angel Gomes,ENG,MF,Lille,24,2000.0,3.2,15,4.62,13,0,0,0,2,0,2,0.62,2,0,0,0,0,0
160,Carlos Gómez,COL,MF,Rennes,22,2002.0,0.3,2,6.67,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0
161,Amine Gouiri,ALG,"FW,MF",Rennes,24,2000.0,4.3,11,2.56,7,0,4,0,0,0,2,0.47,1,0,1,0,0,0
162,Jonathan Gradit,FRA,DF,Lens,31,1992.0,5.8,11,1.89,10,0,1,0,0,0,0,0.0,0,0,0,0,0,0
163,Samuel Grandsir,FRA,"MF,FW",Le Havre,28,1996.0,0.5,1,1.84,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
164,Mason Greenwood,ENG,FW,Marseille,22,2001.0,5.9,14,2.39,8,2,0,1,3,0,2,0.34,1,0,0,0,1,0
165,Albert Grønbaek,DEN,"MF,FW",Rennes,23,2001.0,4.4,18,4.11,12,4,1,0,1,0,3,0.69,0,1,1,0,1,0
166,Gabriel Gudmundsson,SWE,DF,Lille,25,1999.0,4.5,6,1.32,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
167,Evann Guessand,CIV,FW,Nice,23,2001.0,5.5,17,3.11,11,0,2,2,0,2,7,1.28,3,0,2,2,0,0
168,Herba Guirassy,FRA,FW,Nantes,18,2006.0,0.1,2,16.36,0,0,2,0,0,0,2,16.36,0,0,2,0,0,0
169,Massadio Haïdara,MLI,DF,Brest,31,1992.0,1.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
170,Achraf Hakimi,MAR,DF,Paris S-G,25,1998.0,4.9,24,4.89,21,1,1,0,1,0,4,0.81,4,0,0,0,0,0
171,Florent Hanin,ALG,DF,Angers,34,1990.0,3.5,8,2.31,6,2,0,0,0,0,3,0.87,3,0,0,0,0,0
172,Amine Harit,MAR,MF,Marseille,27,1997.0,4.1,18,4.35,15,1,1,0,1,0,5,1.21,4,0,0,0,1,0
173,Hans Hateboer,NED,DF,Rennes,30,1994.0,3.7,8,2.16,7,0,0,1,0,0,1,0.27,1,0,0,0,0,0
174,Luis Henrique,BRA,FW,Marseille,22,2001.0,5.2,21,4.01,19,1,1,0,0,0,7,1.34,7,0,0,0,0,0
175,Ki-Jana Hoever,NED,DF,Auxerre,22,2002.0,3.2,5,1.56,5,0,0,0,0,0,1,0.31,1,0,0,0,0,0
176,Cédric Hountondji,BEN,DF,Angers,30,1994.0,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
177,Ilyes Housni,FRA,MF,Le Havre,19,2005.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
178,Pierre Højbjerg,DEN,"MF,DF",Marseille,29,1995.0,5.9,14,2.36,10,1,0,2,1,0,1,0.17,1,0,0,0,0,0
179,George Ilenikhena,FRA,"FW,MF",Monaco,18,2006.0,2.2,5,2.26,4,0,1,0,0,0,1,0.45,1,0,0,0,0,0
