Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
129,Guela Doué,CIV,DF,Strasbourg,21,2002.0,6.0,408,347,61,18,0,1,3,40,0,0,0,0,336,0,6
130,Douglas,BRA,MF,Nantes,27,1997.0,4.6,248,237,11,6,0,1,4,2,1,1,0,0,213,0,3
131,Ismaël Doukouré,FRA,MF,Strasbourg,21,2003.0,5.5,224,217,7,5,1,1,0,2,0,0,0,0,191,0,3
132,Kamory Doumbia,MLI,MF,Brest,21,2003.0,1.3,67,61,5,3,0,0,3,0,0,0,0,0,55,1,0
133,Jean-Kevin Duverne,HAI,DF,Nantes,27,1997.0,3.6,189,149,39,3,0,0,6,36,0,0,0,0,148,1,4
134,Stefan Džodić,SRB,DF,Montpellier,19,2005.0,1.0,47,45,2,0,0,1,0,0,0,0,0,0,43,0,0
135,Aron Dønnum,NOR,"DF,MF",Toulouse,26,1998.0,4.1,149,126,23,5,0,1,15,18,0,0,0,0,113,0,3
136,Jacques Ekomie,GAB,DF,Angers,21,2003.0,2.5,91,61,29,0,0,0,10,29,0,0,0,0,61,1,7
137,Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,22,2002.0,3.0,136,135,1,1,0,3,0,0,0,0,0,0,119,0,1
138,Breel Embolo,SUI,FW,Monaco,27,1997.0,3.7,68,61,5,1,3,0,1,0,0,0,0,0,49,2,2
139,Emanuel Emegha,NED,FW,Strasbourg,21,2003.0,5.6,67,57,9,0,0,0,0,0,0,0,0,0,54,1,1
140,Romain Faivre,FRA,"MF,FW",Brest,26,1998.0,2.9,101,95,6,1,0,0,4,1,4,1,2,0,84,0,5
141,Khalil Fayad,FRA,"MF,FW",Montpellier,20,2004.0,2.8,141,137,4,4,2,1,2,0,0,0,0,0,121,0,2
142,Zinedine Ferhat,ALG,"FW,MF",Angers,31,1993.0,1.8,98,80,17,2,1,0,15,4,11,3,5,1,64,1,2
143,Edimilson Fernandes,SUI,MF,Brest,28,1996.0,1.6,60,60,0,0,0,0,1,0,0,0,0,0,45,0,1
144,Matias Fernandez-Pardo,BEL,FW,Lille,19,2005.0,0.3,7,7,0,0,1,0,0,0,0,0,0,0,4,0,0
145,Jordan Ferri,FRA,MF,Montpellier,32,1992.0,3.0,214,201,13,8,0,0,3,5,0,0,0,0,189,0,0
146,Karol Fila,POL,MF,Strasbourg,26,1998.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
147,Malick Fofana,BEL,"FW,DF",Lyon,19,2005.0,2.1,72,67,5,0,1,0,11,5,0,0,0,0,49,0,5
148,Yahia Fofana,CIV,GK,Angers,24,2000.0,6.0,183,133,50,16,0,0,0,0,0,0,0,0,137,0,0
149,Lamine Fomba,FRA,MF,Saint-Étienne,26,1998.0,0.8,39,39,0,0,0,2,0,0,0,0,0,0,31,0,2
150,Przemysław Frankowski,POL,DF,Lens,29,1995.0,3.2,212,173,37,0,2,0,16,33,4,1,3,0,162,2,12
151,Angelo Fulgini,FRA,"MF,FW",Lens,28,1996.0,1.9,104,96,7,1,1,1,8,0,6,3,1,0,77,1,4
152,Ignatius Ganago,CMR,FW,Nantes,25,1999.0,0.3,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0
153,Ulisses Garcia,SUI,"DF,MF",Marseille,28,1996.0,0.5,18,17,1,0,0,0,4,1,0,0,0,0,11,0,1
154,Jean-Philippe Gbamin,CIV,MF,Nantes,29,1995.0,0.2,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0
155,Yann Gboho,FRA,"FW,MF",Toulouse,23,2001.0,5.8,136,130,5,2,1,0,10,0,0,0,0,0,83,1,7
156,Denis Genreau,AUS,MF,Toulouse,25,1999.0,0.0,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0
157,Aleksandr Golovin,RUS,MF,Monaco,28,1996.0,2.8,191,180,10,4,3,0,7,2,4,2,1,0,152,1,2
158,André Gomes,POR,MF,Lille,31,1993.0,1.7,130,126,4,2,1,1,0,2,0,0,0,0,114,0,3
159,Angel Gomes,ENG,MF,Lille,24,2000.0,3.2,156,152,1,1,2,0,2,0,0,0,0,0,131,3,2
160,Carlos Gómez,COL,MF,Rennes,22,2002.0,0.3,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0
161,Amine Gouiri,ALG,"FW,MF",Rennes,24,2000.0,4.3,116,102,14,4,1,0,5,1,1,1,0,0,89,0,7
162,Jonathan Gradit,FRA,DF,Lens,31,1992.0,5.8,316,306,9,9,1,1,4,0,0,0,0,0,258,1,3
163,Samuel Grandsir,FRA,"MF,FW",Le Havre,28,1996.0,0.5,9,9,0,0,1,0,0,0,0,0,0,0,5,0,1
164,Mason Greenwood,ENG,FW,Marseille,22,2001.0,5.9,205,195,9,2,0,6,8,0,5,3,0,0,159,1,3
165,Albert Grønbaek,DEN,"MF,FW",Rennes,23,2001.0,4.4,101,88,12,3,0,0,11,3,6,6,0,0,67,1,5
166,Gabriel Gudmundsson,SWE,DF,Lille,25,1999.0,4.5,210,171,39,4,0,1,17,35,0,0,0,0,172,0,7
167,Evann Guessand,CIV,FW,Nice,23,2001.0,5.5,89,78,11,0,3,0,5,0,0,0,0,0,76,0,2
168,Herba Guirassy,FRA,FW,Nantes,18,2006.0,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Massadio Haïdara,MLI,DF,Brest,31,1992.0,1.9,78,69,9,0,0,0,3,9,0,0,0,0,62,0,0
170,Achraf Hakimi,MAR,DF,Paris S-G,25,1998.0,4.9,424,380,44,8,2,1,15,35,1,0,0,0,382,0,6
171,Florent Hanin,ALG,DF,Angers,34,1990.0,3.5,240,205,35,1,0,0,19,34,0,0,0,0,184,0,3
172,Amine Harit,MAR,MF,Marseille,27,1997.0,4.1,169,151,16,7,2,1,6,0,4,2,1,0,138,2,5
173,Hans Hateboer,NED,DF,Rennes,30,1994.0,3.7,181,155,25,8,0,2,11,17,0,0,0,0,141,1,7
174,Luis Henrique,BRA,FW,Marseille,22,2001.0,5.2,191,185,5,0,1,1,7,4,1,1,0,0,147,1,7
175,Ki-Jana Hoever,NED,DF,Auxerre,22,2002.0,3.2,156,124,32,2,0,2,12,30,0,0,0,0,117,0,2
176,Cédric Hountondji,BEN,DF,Angers,30,1994.0,3.0,100,95,5,4,0,0,0,0,0,0,0,0,85,0,0
177,Ilyes Housni,FRA,MF,Le Havre,19,2005.0,0.1,5,4,1,0,0,0,0,0,0,0,0,0,4,0,1
178,Pierre Højbjerg,DEN,"MF,DF",Marseille,29,1995.0,5.9,556,531,25,20,0,0,0,2,1,0,0,0,523,0,3
179,George Ilenikhena,FRA,"FW,MF",Monaco,18,2006.0,2.2,32,29,2,0,1,0,0,0,0,0,0,0,21,1,0
180,Ismaily,BRA,DF,Lille,34,1990.0,0.9,49,43,6,0,0,0,3,6,0,0,0,0,42,0,1
181,Yanis Issoufou,FRA,"FW,MF",Montpellier,17,2006.0,0.8,15,14,0,0,0,0,2,0,0,0,0,0,8,1,3
182,Junya Ito,JPN,FW,Reims,31,1993.0,5.8,203,177,26,12,1,1,40,2,11,5,5,0,132,0,10
183,Ismail Jakobs,SEN,DF,Monaco,25,1999.0,2.0,105,87,18,5,0,0,14,13,0,0,0,0,85,0,2
184,Jordan James,WAL,MF,Rennes,20,2004.0,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
185,Karl-Johan Johnsson,SWE,GK,Strasbourg,34,1990.0,3.0,129,118,11,4,0,0,0,0,0,0,0,0,107,0,0
186,Paul Joly,FRA,DF,Auxerre,24,2000.0,4.1,256,227,28,6,0,5,25,22,0,0,0,0,178,1,7
187,Jota,POR,FW,Rennes,25,1999.0,0.3,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0
188,Antoine Joujou,FRA,"MF,FW",Le Havre,21,2003.0,3.3,71,71,0,0,1,0,8,0,0,0,0,0,36,0,6
189,Jubal,BRA,DF,Auxerre,31,1993.0,5.4,222,210,12,12,0,1,0,0,0,0,0,0,197,0,1
190,Hamed Junior Traorè,CIV,MF,Auxerre,24,2000.0,3.6,129,114,14,6,0,0,14,1,7,3,2,0,90,1,4
191,Yaya Kader Fofana,MLI,"MF,FW",Reims,20,2004.0,4.1,131,129,2,1,2,0,3,0,1,0,0,0,101,0,3
192,Tino Kadewere,ZIM,"MF,FW",Nantes,28,1996.0,3.5,91,90,1,0,1,0,1,1,0,0,0,0,66,0,3
193,Arnaud Kalimuendo,FRA,FW,Rennes,22,2002.0,3.6,67,59,7,0,0,0,1,0,0,0,0,0,52,1,2
194,Waren Kamanzi,NOR,"DF,MF",Toulouse,23,2000.0,4.3,169,142,27,4,1,0,8,23,0,0,0,0,133,0,7
195,Glen Kamara,FIN,MF,Rennes,28,1995.0,3.2,158,150,6,5,1,0,0,1,0,0,0,0,142,2,1
196,Nordine Kandil,FRA,MF,Strasbourg,22,2001.0,0.1,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
197,Lee Kang-in,KOR,"MF,FW",Paris S-G,23,2001.0,4.2,295,258,36,3,1,1,19,5,26,6,7,0,262,1,5
198,Yassine Kechta,MAR,"FW,MF",Le Havre,22,2002.0,5.2,147,135,10,2,1,1,4,1,0,0,0,0,116,2,3
199,Thilo Kehrer,GER,DF,Monaco,28,1996.0,4.0,279,254,25,23,1,2,1,0,0,0,0,0,253,0,2
200,Reda Khadra,GER,"MF,FW",Reims,23,2001.0,0.9,30,27,3,3,1,0,3,0,0,0,0,0,22,0,0
201,Wahbi Khazri,TUN,FW,Montpellier,33,1991.0,1.3,41,34,7,0,0,0,4,0,2,1,0,0,32,0,1
202,Abdukodir Khusanov,UZB,DF,Lens,20,2004.0,4.2,165,158,7,3,0,0,2,0,0,0,0,0,142,0,1
203,Joshua King,NOR,"MF,FW",Toulouse,32,1992.0,1.4,31,30,1,0,0,0,0,0,0,0,0,0,26,0,2
204,Cédric Kipré,CIV,DF,Reims,27,1996.0,3.1,162,157,5,5,2,0,0,0,0,0,0,0,147,0,0
205,Philipp Köhn,SUI,GK,Monaco,26,1998.0,6.0,168,119,49,13,0,0,0,0,0,0,0,0,130,0,0
206,Randal Kolo Muani,FRA,FW,Paris S-G,25,1998.0,2.8,49,47,2,0,0,1,0,0,0,0,0,0,40,0,1
207,Geoffrey Kondogbia,CTA,"MF,DF",Marseille,31,1993.0,4.9,283,278,5,4,1,1,0,1,0,0,0,0,257,0,1
