Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
171,Florent Hanin,ALG,DF,Angers,34,1990.0,3.5,13,10,7,4,2,5,8,62.5,3,1,0,1,5,18,9,1
172,Amine Harit,MAR,MF,Marseille,27,1997.0,4.1,3,3,0,3,0,0,1,0.0,1,5,0,5,3,6,1,1
173,Hans Hateboer,NED,DF,Rennes,30,1994.0,3.7,7,3,3,3,1,4,6,66.7,2,3,1,2,4,11,8,0
174,Luis Henrique,BRA,FW,Marseille,22,2001.0,5.2,2,2,1,1,0,2,2,100.0,0,4,2,2,1,3,4,0
175,Ki-Jana Hoever,NED,DF,Auxerre,22,2002.0,3.2,5,4,4,0,1,1,2,50.0,1,5,0,5,2,7,13,0
176,Cédric Hountondji,BEN,DF,Angers,30,1994.0,3.0,6,4,4,2,0,3,7,42.9,4,3,3,0,4,10,14,0
177,Ilyes Housni,FRA,MF,Le Havre,19,2005.0,0.1,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0
178,Pierre Højbjerg,DEN,"MF,DF",Marseille,29,1995.0,5.9,16,11,13,3,0,14,24,58.3,10,11,3,8,15,31,15,1
179,George Ilenikhena,FRA,"FW,MF",Monaco,18,2006.0,2.2,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0
180,Ismaily,BRA,DF,Lille,34,1990.0,0.9,2,0,0,1,1,0,1,0.0,1,4,0,4,0,2,2,0
181,Yanis Issoufou,FRA,"FW,MF",Montpellier,17,2006.0,0.8,5,3,4,1,0,3,5,60.0,2,1,0,1,0,5,1,0
182,Junya Ito,JPN,FW,Reims,31,1993.0,5.8,8,7,3,4,1,2,11,18.2,9,8,0,8,1,9,1,1
183,Ismail Jakobs,SEN,DF,Monaco,25,1999.0,2.0,5,5,3,0,2,3,5,60.0,2,0,0,0,2,7,6,0
184,Jordan James,WAL,MF,Rennes,20,2004.0,0.3,2,0,1,0,1,1,3,33.3,2,0,0,0,0,2,1,0
185,Karl-Johan Johnsson,SWE,GK,Strasbourg,34,1990.0,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
