stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,1,71,0.8,1,71.0,0,0,0.0,0,3.0,3,1,2,2.54,1.8,0.9,0.8,1.06
,,3,270,3.0,3,90.0,3,0,0.0,0,2.33,4,2,2,0.67,3.7,3.8,-0.1,-0.03
,,3,260,2.9,3,87.0,2,0,0.0,0,2.0,5,4,1,0.35,6.0,2.8,3.3,1.13
,,3,199,2.2,2,90.0,2,1,19.0,0,1.67,2,0,2,0.9,2.1,2.2,-0.2,-0.07
,,2,49,0.5,0,0.0,0,2,25.0,1,1.5,1,0,1,1.84,1.4,0.6,0.8,1.49
,,3,153,1.7,3,51.0,0,0,0.0,0,2.33,1,0,1,0.59,1.6,1.4,0.3,0.17
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,180,2.0,2,90.0,2,0,0.0,0,1.0,4,4,0,0.0,3.4,4.5,-1.0,-0.52
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,2,0.0,0,0.0,0,1,2.0,2,1.0,0,1,-1,-45.0,0.3,0.4,0.0,-1.74
,,3,202,2.2,2,83.0,0,1,36.0,0,2.33,4,2,2,0.89,2.8,2.3,0.5,0.22
,,3,265,2.9,3,88.0,2,0,0.0,0,2.0,9,6,3,1.02,8.3,3.6,4.6,1.58
,,2,148,1.6,2,74.0,1,0,0.0,0,1.5,3,3,0,0.0,3.7,3.4,0.3,0.18
,,1,45,0.5,0,0.0,0,1,45.0,2,3.0,2,0,2,4.0,2.4,0.2,2.2,4.31
,,1,64,0.7,1,64.0,0,0,0.0,1,3.0,2,1,1,1.41,1.0,1.3,-0.3,-0.39
,,3,160,1.8,2,67.0,0,1,26.0,0,0.0,0,1,-1,-0.56,1.5,2.9,-1.5,-0.82
,,3,58,0.6,0,0.0,0,3,19.0,0,2.0,0,1,-1,-1.55,1.6,0.5,1.0,1.57
,,3,216,2.4,3,72.0,0,0,0.0,0,1.67,1,1,0,0.0,1.4,1.6,-0.2,-0.07
,,3,241,2.7,3,80.0,0,0,0.0,0,0.0,1,9,-8,-2.99,2.7,6.2,-3.5,-1.31
,,3,234,2.6,3,78.0,0,0,0.0,0,1.0,5,5,0,0.0,5.8,4.1,1.6,0.63
,,3,25,0.3,0,0.0,0,3,8.0,0,2.0,1,1,0,0.0,0.8,0.9,-0.1,-0.44
