stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,0.7,39,1,5,19,15,2,39,1,0,0.0,1,100.0,14,94.0,39.0,1,0,0,0,0,34,4
,,1.8,63,1,2,32,29,9,63,1,1,100.0,0,0.0,30,115.0,42.0,2,2,1,4,1,50,8
,,0.6,21,1,2,8,11,2,20,0,0,0.0,0,0.0,8,28.0,8.0,0,0,0,1,0,13,3
,,2.4,74,0,6,33,37,6,74,7,3,42.9,3,42.9,55,426.0,116.0,5,4,2,6,11,62,10
,,2.7,149,14,63,62,25,3,149,1,1,100.0,0,0.0,74,319.0,92.0,1,1,0,3,2,82,6
,,2.6,105,5,17,35,54,12,105,1,0,0.0,1,100.0,49,277.0,159.0,9,3,3,1,0,73,16
,,0.3,17,1,4,9,6,2,17,2,2,100.0,0,0.0,8,95.0,58.0,2,2,0,2,1,9,2
,,2.0,58,53,58,0,0,0,58,0,0,0.0,0,0.0,30,171.0,91.0,0,0,0,0,0,23,0
,,0.5,24,2,6,18,0,0,24,0,0,0.0,0,0.0,12,60.0,37.0,0,0,0,1,0,14,0
,,1.4,63,2,8,28,27,5,63,0,0,0.0,0,0.0,32,140.0,24.0,0,0,0,1,3,44,7
,,0.2,7,0,3,4,1,0,7,0,0,0.0,0,0.0,3,28.0,6.0,1,1,0,1,2,4,1
,,3.0,172,6,35,110,30,4,172,5,2,40.0,3,60.0,52,231.0,147.0,4,3,2,6,1,99,5
,,3.0,200,31,125,71,6,3,200,1,1,100.0,0,0.0,105,441.0,187.0,0,1,0,1,1,118,0
,,1.0,47,8,23,22,3,2,47,2,0,0.0,2,100.0,27,88.0,24.0,0,2,0,1,0,27,0
,,3.0,127,4,20,45,62,15,127,4,1,25.0,2,50.0,65,230.0,119.0,4,3,0,7,5,98,18
,,1.2,59,1,9,39,12,7,59,1,1,100.0,0,0.0,30,173.0,117.0,3,1,0,5,0,37,1
,,0.5,21,6,14,4,3,0,21,0,0,0.0,0,0.0,7,17.0,1.0,0,0,0,0,0,12,1
,,0.9,38,0,1,16,22,7,38,1,0,0.0,1,100.0,17,74.0,30.0,1,2,0,1,2,22,4
,,1.0,67,9,28,38,2,2,67,0,0,0.0,0,0.0,41,186.0,72.0,0,0,0,0,0,43,0
,,2.0,135,24,87,45,5,4,135,0,0,0.0,0,0.0,58,195.0,73.0,0,0,0,0,0,82,0
,,2.5,173,21,98,71,6,0,173,0,0,0.0,0,0.0,106,448.0,167.0,0,3,0,1,1,113,0
,,0.1,6,0,1,3,2,1,6,2,2,100.0,0,0.0,2,39.0,23.0,1,0,0,0,0,0,0
,,3.0,168,12,39,65,64,7,168,1,1,100.0,0,0.0,75,228.0,95.0,1,2,1,1,1,105,22
,,3.0,173,9,30,72,74,5,173,4,1,25.0,3,75.0,81,420.0,203.0,5,3,1,3,3,88,11
,,2.9,256,6,44,178,36,3,256,6,3,50.0,3,50.0,157,732.0,372.0,1,7,0,3,3,194,4
,,3.0,99,1,6,48,47,15,97,9,4,44.4,5,55.6,57,316.0,94.0,3,6,2,6,2,80,15
,,2.7,209,11,48,131,34,0,209,3,3,100.0,0,0.0,120,411.0,160.0,0,0,0,2,1,153,1
,,0.3,6,1,1,0,5,2,6,0,0,0.0,0,0.0,7,22.0,13.0,0,0,0,1,0,8,3
,,0.4,22,1,5,11,6,2,22,0,0,0.0,0,0.0,9,41.0,27.0,1,0,0,0,0,12,0
,,0.1,12,0,0,6,6,0,12,0,0,0.0,0,0.0,6,17.0,0.0,0,0,0,0,0,7,0
,,0.7,24,5,11,9,4,1,24,0,0,0.0,0,0.0,5,23.0,4.0,0,0,0,0,0,10,0
,,3.0,114,6,33,67,14,3,114,0,0,0.0,0,0.0,35,125.0,28.0,1,0,1,1,0,51,0
,,3.0,314,7,59,190,67,3,314,2,1,50.0,1,50.0,187,792.0,322.0,5,7,0,2,0,244,9
,,2.9,79,4,7,32,41,13,79,3,0,0.0,3,100.0,35,217.0,138.0,8,3,3,3,4,49,14
,,2.2,190,18,69,112,10,1,190,0,0,0.0,0,0.0,98,409.0,215.0,1,1,0,0,0,128,1
,,0.5,24,0,6,6,13,5,24,1,0,0.0,1,100.0,15,108.0,76.0,2,1,2,2,0,15,7
,,2.7,134,10,49,75,10,2,134,3,3,100.0,0,0.0,58,295.0,126.0,4,0,1,1,2,87,2
,,3.0,114,90,112,2,0,0,114,1,1,100.0,0,0.0,68,431.0,205.0,0,0,0,0,0,75,0
,,3.0,191,53,107,80,4,3,191,1,0,0.0,1,100.0,109,475.0,266.0,0,0,0,0,0,119,1
,,0.3,10,2,3,4,3,1,10,0,0,0.0,0,0.0,5,34.0,15.0,0,1,0,1,0,5,1
,,3.0,192,23,87,88,19,4,192,3,2,66.7,1,33.3,76,404.0,243.0,6,2,1,3,1,111,6
,,1.0,56,6,23,24,9,2,56,0,0,0.0,0,0.0,16,114.0,82.0,2,2,0,1,0,29,2
,,0.3,10,1,1,5,4,1,10,0,0,0.0,0,0.0,4,25.0,9.0,1,0,0,1,0,7,5
,,0.1,7,2,3,1,3,0,7,0,0,0.0,0,0.0,2,6.0,1.0,0,0,0,0,0,2,0
,,0.0,9,1,1,3,5,0,9,0,0,0.0,0,0.0,3,25.0,8.0,1,1,0,0,0,5,1
,,1.0,26,23,26,0,0,0,26,0,0,0.0,0,0.0,18,71.0,27.0,0,0,0,0,0,17,0
,,2.9,166,4,20,58,89,19,165,3,2,66.7,1,33.3,111,795.0,469.0,14,8,4,7,4,122,22
,,0.6,48,4,12,22,14,0,48,0,0,0.0,0,0.0,30,85.0,39.0,0,0,0,1,0,33,2
,,3.0,157,19,60,65,35,4,157,2,1,50.0,1,50.0,80,353.0,161.0,4,4,1,2,1,83,8
,,2.8,136,10,41,72,24,5,136,1,0,0.0,1,100.0,37,163.0,56.0,1,1,0,1,2,49,5
,,0.3,11,0,1,6,4,1,11,2,2,100.0,0,0.0,9,45.0,29.0,1,0,0,1,0,10,2
,,3.0,112,87,110,2,0,0,112,0,0,0.0,0,0.0,68,373.0,215.0,0,0,0,0,0,50,0
,,0.5,24,0,2,16,6,2,24,1,0,0.0,1,100.0,19,87.0,61.0,1,0,0,0,1,20,2
,,0.1,5,0,4,1,0,0,5,0,0,0.0,0,0.0,1,1.0,1.0,0,0,0,0,0,1,0
,,2.9,108,7,30,60,18,2,108,3,1,33.3,2,66.7,54,208.0,101.0,2,4,0,3,1,59,2
,,3.0,189,11,84,87,23,4,189,3,3,100.0,0,0.0,83,362.0,171.0,2,3,0,5,1,96,1
,,1.8,89,16,37,43,9,5,89,0,0,0.0,0,0.0,36,137.0,44.0,1,0,0,1,1,41,1
,,2.7,108,3,14,49,46,13,108,7,3,42.9,4,57.1,72,578.0,236.0,5,4,3,3,8,84,25
,,2.5,172,16,74,93,6,1,172,2,0,0.0,2,100.0,91,647.0,330.0,3,1,0,0,0,112,0
,,1.3,32,4,6,19,8,0,32,2,0,0.0,2,100.0,12,42.0,17.0,0,0,0,1,0,14,3
,,3.0,248,24,96,145,9,4,248,5,2,40.0,3,60.0,122,573.0,303.0,1,0,0,3,2,179,2
,,3.0,147,7,41,93,14,3,147,2,2,100.0,0,0.0,79,361.0,143.0,0,0,0,2,2,88,1
,,2.7,105,3,20,44,41,6,105,0,0,0.0,0,0.0,50,202.0,61.0,2,1,1,5,4,62,13
,,1.5,100,1,7,48,45,2,100,2,0,0.0,2,100.0,53,203.0,59.0,0,4,0,4,0,70,6
,,3.0,142,20,98,41,3,1,142,1,0,0.0,1,100.0,84,466.0,236.0,1,0,0,0,0,86,0
,,1.3,39,0,8,15,17,3,38,3,2,66.7,0,0.0,28,155.0,48.0,2,2,1,2,3,28,2
,,0.1,4,0,0,2,2,0,4,0,0,0.0,0,0.0,2,10.0,0.0,0,0,0,0,0,2,1
,,0.3,15,2,11,4,0,0,15,0,0,0.0,0,0.0,7,22.0,8.0,0,0,0,0,0,7,0
,,1.5,82,0,2,28,53,10,82,10,2,20.0,7,70.0,51,259.0,122.0,5,3,3,5,1,62,19
,,2.4,103,13,43,54,6,0,103,2,0,0.0,2,100.0,38,79.0,18.0,0,0,0,2,0,40,0
,,2.6,88,0,13,30,50,17,87,16,6,37.5,7,43.8,65,539.0,300.0,9,12,4,8,5,67,17
,,3.0,181,26,88,88,6,4,181,0,0,0.0,0,0.0,110,507.0,268.0,0,1,0,2,0,116,0
,,0.7,34,3,5,13,16,7,34,3,2,66.7,1,33.3,23,156.0,68.0,2,1,1,5,3,30,8
,,0.6,18,0,1,6,11,4,18,1,0,0.0,1,100.0,10,21.0,5.0,0,0,0,2,3,14,5
,,2.8,149,30,81,62,6,3,149,0,0,0.0,0,0.0,68,297.0,143.0,0,0,0,0,0,75,0
,,1.9,91,4,19,43,32,1,91,4,2,50.0,1,25.0,37,190.0,107.0,4,4,0,3,0,52,8
,,3.0,286,38,141,139,8,2,286,1,0,0.0,1,100.0,128,501.0,259.0,3,0,0,1,0,195,1
,,0.4,12,0,2,6,4,0,12,1,1,100.0,0,0.0,11,48.0,28.0,1,1,0,0,0,10,1
,,2.3,179,0,36,98,49,7,179,5,5,100.0,0,0.0,109,516.0,251.0,2,4,0,7,3,125,9
,,2.9,339,24,137,188,14,2,339,1,1,100.0,0,0.0,214,892.0,390.0,2,4,0,2,1,258,3
,,2.4,188,10,52,93,45,2,188,2,1,50.0,0,0.0,106,333.0,169.0,2,4,0,4,2,122,10
,,0.7,28,0,5,12,13,2,28,3,0,0.0,3,100.0,18,82.0,35.0,2,1,1,1,0,17,1
,,0.1,9,1,1,3,5,2,9,1,0,0.0,1,100.0,4,41.0,28.0,2,1,1,0,0,5,2
,,0.5,23,0,0,8,15,2,23,0,0,0.0,0,0.0,14,61.0,18.0,2,1,0,2,1,21,8
,,0.1,6,0,6,0,0,0,6,0,0,0.0,0,0.0,3,8.0,8.0,0,0,0,0,0,4,0
,,2.0,76,54,73,3,0,0,76,0,0,0.0,0,0.0,45,270.0,163.0,0,0,0,0,0,37,0
,,3.0,126,110,126,0,0,0,126,0,0,0.0,0,0.0,68,301.0,172.0,0,0,0,1,0,59,0
,,1.1,69,1,9,26,34,5,69,2,2,100.0,0,0.0,40,176.0,82.0,1,0,0,2,3,61,17
,,2.3,144,1,15,80,51,13,144,19,9,47.4,9,47.4,95,464.0,243.0,4,3,1,4,3,116,12
,,0.1,7,0,3,1,3,0,7,1,0,0.0,1,100.0,4,50.0,26.0,0,2,0,0,0,3,0
,,2.9,149,8,26,61,63,3,149,6,3,50.0,3,50.0,71,372.0,199.0,3,0,1,2,2,87,19
,,0.8,40,0,7,13,21,5,40,3,1,33.3,2,66.7,23,89.0,32.0,0,0,0,2,3,27,6
,,0.0,5,1,3,1,1,0,5,0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0,0
,,0.2,25,2,6,9,10,2,25,0,0,0.0,0,0.0,17,192.0,123.0,3,2,1,0,0,17,1
,,2.9,176,12,86,58,34,5,176,6,3,50.0,2,33.3,77,306.0,173.0,5,3,1,2,2,101,6
,,3.0,171,76,156,15,0,0,171,0,0,0.0,0,0.0,115,581.0,343.0,0,0,0,0,0,126,0
,,0.2,11,0,4,6,1,0,11,0,0,0.0,0,0.0,3,5.0,2.0,0,0,0,0,0,6,0
,,1.5,55,0,4,31,22,6,55,4,1,25.0,3,75.0,41,246.0,100.0,5,5,1,4,2,47,14
,,1.9,103,5,33,46,28,1,103,7,3,42.9,3,42.9,63,392.0,200.0,9,6,0,4,1,62,9
,,1.3,85,5,12,60,15,0,85,0,0,0.0,0,0.0,31,181.0,88.0,2,2,0,3,3,57,1
,,3.0,142,121,141,1,0,0,142,0,0,0.0,0,0.0,93,370.0,227.0,0,0,0,0,0,89,0
,,0.9,49,5,11,18,20,5,49,5,1,20.0,3,60.0,27,202.0,65.0,1,2,2,3,2,32,6
,,0.2,14,1,4,10,0,0,14,0,0,0.0,0,0.0,7,51.0,33.0,1,0,0,0,0,8,0
,,0.2,15,1,7,4,4,0,15,0,0,0.0,0,0.0,4,8.0,2.0,0,0,0,1,0,3,0
,,2.0,136,1,7,56,76,7,136,14,4,28.6,8,57.1,94,455.0,207.0,7,7,1,3,2,107,15
,,3.0,154,134,154,0,0,0,154,0,0,0.0,0,0.0,113,375.0,159.0,0,0,0,0,0,99,0
