Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
117,Álex Grimaldo,ESP,DF,Leverkusen,29,1995.0,5.0,1,11,4,36.4,2.2,0.8,0.09,0.25,20.6,2,0,0,0.8,0.8,0.07,0.2,0.2
118,Pascal Groß,GER,MF,Dortmund,33,1991.0,4.5,0,5,1,20.0,1.11,0.22,0.0,0.0,22.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
119,Marco Grüll,AUT,"FW,MF",Werder Bremen,26,1998.0,1.5,0,2,1,50.0,1.32,0.66,0.0,0.0,17.0,0,0,0,0.6,0.6,0.3,-0.6,-0.6
120,Raphaël Guerreiro,POR,DF,Bayern Munich,30,1993.0,2.9,0,3,0,0.0,1.02,0.0,0.0,0.0,23.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
121,Morgan Guilavogui,GUI,FW,St. Pauli,26,1998.0,2.1,0,4,0,0.0,1.88,0.0,0.0,0.0,17.5,0,0,0,0.5,0.5,0.12,-0.5,-0.5
122,Serhou Guirassy,GUI,FW,Dortmund,28,1996.0,2.8,3,12,6,50.0,4.3,2.15,0.25,0.5,11.0,0,0,0,2.5,2.5,0.21,0.5,0.5
123,Péter Gulácsi,HUN,GK,RB Leipzig,34,1990.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
124,Christian Günter,GER,DF,Freiburg,31,1993.0,4.8,0,3,0,0.0,0.63,0.0,0.0,0.0,24.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
125,Janik Haberer,GER,"DF,MF",Union Berlin,30,1994.0,3.8,0,3,0,0.0,0.78,0.0,0.0,0.0,13.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
126,Robin Hack,GER,"FW,MF",Gladbach,26,1998.0,1.5,0,6,1,16.7,3.91,0.65,0.0,0.0,22.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
127,Amadou Haidara,MLI,MF,RB Leipzig,26,1998.0,3.2,0,5,0,0.0,1.56,0.0,0.0,0.0,18.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4
128,Andreas Hanche-Olsen,NOR,DF,Mainz 05,27,1997.0,3.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
129,Ramon Hendriks,NED,DF,Stuttgart,23,2001.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
130,Benjamin Henrichs,GER,DF,RB Leipzig,27,1997.0,2.6,0,6,0,0.0,2.3,0.0,0.0,0.0,18.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3
131,Piero Hincapié,ECU,DF,Leverkusen,22,2002.0,4.4,1,3,1,33.3,0.68,0.23,0.33,1.0,4.4,0,0,0,1.0,1.0,0.34,0.0,0.0
132,Adam Hložek,CZE,"FW,MF",Hoffenheim,22,2002.0,2.7,1,9,3,33.3,3.39,1.13,0.11,0.33,20.2,1,0,0,0.9,0.9,0.09,0.1,0.1
133,Nicolas Höfler,GER,MF,Freiburg,34,1990.0,0.6,0,1,0,0.0,1.61,0.0,0.0,0.0,24.0,0,0,0,0.0,0.0,0.01,0.0,0.0
134,Jonas Hofmann,GER,MF,Leverkusen,32,1992.0,0.7,0,1,1,100.0,1.41,1.41,0.0,0.0,16.6,0,0,0,0.1,0.1,0.14,-0.1,-0.1
135,Philipp Hofmann,GER,FW,Bochum,31,1993.0,3.5,0,10,1,10.0,2.86,0.29,0.0,0.0,18.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7
136,Lucas Höler,GER,"MF,FW",Freiburg,30,1994.0,1.2,0,1,0,0.0,0.81,0.0,0.0,0.0,22.1,0,0,1,0.9,0.1,0.08,-0.9,-0.1
137,Benedict Hollerbach,GER,"MF,FW",Union Berlin,23,2001.0,3.9,1,7,4,57.1,1.79,1.03,0.14,0.25,15.9,0,0,0,0.5,0.5,0.07,0.5,0.5
138,Lewis Holtby,GER,MF,Holstein Kiel,34,1990.0,4.4,0,2,0,0.0,0.46,0.0,0.0,0.0,26.5,1,0,0,0.1,0.1,0.03,-0.1,-0.1
139,Franck Honorat,FRA,FW,Gladbach,28,1996.0,2.6,1,7,2,28.6,2.69,0.77,0.14,0.5,11.9,0,0,0,1.6,1.6,0.23,-0.6,-0.6
140,Mathias Honsak,AUT,"MF,FW",Heidenheim,27,1996.0,0.9,0,3,1,33.3,3.21,1.07,0.0,0.0,19.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2
141,Lukáš Hrádecký,FIN,GK,Leverkusen,34,1989.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
142,Robin Hranáč,CZE,DF,Hoffenheim,24,2000.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
