Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
107,Jamie Gittens,ENG,"FW,DF",Dortmund,20,2004.0,2.5,108,0,5,43,63,14,108,21,11,52.4,8,38.1,80,763,461,19,9,9,7,6,87,20
108,Serge Gnabry,GER,"FW,MF",Bayern Munich,29,1995.0,3.6,210,2,19,77,114,24,210,12,7,58.3,5,41.7,136,817,390,18,8,8,4,1,162,42
109,Leon Goretzka,GER,DF,Bayern Munich,29,1995.0,0.0,5,3,5,0,0,0,5,0,0,0.0,0,0.0,2,8,0,0,0,0,0,0,3,0
110,Robin Gosens,GER,DF,Union Berlin,30,1994.0,1.0,51,1,12,20,19,1,51,0,0,0.0,0,0.0,17,61,37,1,2,0,2,0,26,5
111,Mario Götze,GER,"FW,MF",Eint Frankfurt,32,1992.0,2.5,114,1,22,55,39,8,114,1,0,0.0,1,100.0,74,342,208,6,4,0,3,2,80,10
112,Jeffrey Gouweleeuw,NED,DF,Augsburg,33,1991.0,5.0,341,24,130,172,39,10,340,4,3,75.0,1,25.0,211,1160,737,9,3,0,5,0,245,6
113,Kamil Grabara,POL,GK,Wolfsburg,25,1999.0,5.0,227,133,217,10,0,0,227,0,0,0.0,0,0.0,130,584,344,0,0,0,0,0,126,0
114,Michael Gregoritsch,AUT,FW,Freiburg,30,1994.0,0.2,5,0,0,2,3,1,5,0,0,0.0,0,0.0,3,8,3,1,0,1,0,0,3,1
115,Vincenzo Grifo,ITA,"FW,MF",Freiburg,31,1993.0,4.5,306,2,25,165,118,16,305,9,6,66.7,2,22.2,172,955,569,12,7,4,10,2,207,29
116,Florian Grillitsch,AUT,"MF,DF",Hoffenheim,29,1995.0,2.3,162,15,59,75,29,0,162,3,2,66.7,1,33.3,102,575,247,2,3,0,2,4,113,1
117,Álex Grimaldo,ESP,DF,Leverkusen,29,1995.0,5.0,409,8,52,141,217,23,409,12,3,25.0,7,58.3,204,1102,668,21,11,7,11,4,293,44
118,Pascal Groß,GER,MF,Dortmund,33,1991.0,4.5,463,19,73,241,153,8,463,0,0,0.0,0,0.0,218,1059,556,6,14,1,2,1,348,17
119,Marco Grüll,AUT,"FW,MF",Werder Bremen,26,1998.0,1.5,60,1,8,30,24,3,60,4,2,50.0,1,25.0,30,182,70,2,2,1,5,11,29,3
120,Raphaël Guerreiro,POR,DF,Bayern Munich,30,1993.0,2.9,283,6,57,153,75,10,283,6,4,66.7,2,33.3,156,729,362,11,8,0,2,1,199,17
121,Morgan Guilavogui,GUI,FW,St. Pauli,26,1998.0,2.1,92,2,3,52,38,7,92,5,4,80.0,1,20.0,39,191,67,3,2,1,9,3,79,19
122,Serhou Guirassy,GUI,FW,Dortmund,28,1996.0,2.8,99,4,4,51,44,17,99,4,1,25.0,2,50.0,51,191,89,3,4,1,7,2,81,21
123,Péter Gulácsi,HUN,GK,RB Leipzig,34,1990.0,5.0,172,128,163,9,0,0,172,0,0,0.0,0,0.0,86,361,185,0,0,0,1,0,82,0
124,Christian Günter,GER,DF,Freiburg,31,1993.0,4.8,246,9,61,101,85,6,246,2,0,0.0,2,100.0,128,455,207,4,5,2,3,1,158,29
125,Janik Haberer,GER,"DF,MF",Union Berlin,30,1994.0,3.8,216,10,57,111,51,8,216,2,0,0.0,2,100.0,98,343,147,2,2,0,0,0,114,7
126,Robin Hack,GER,"FW,MF",Gladbach,26,1998.0,1.5,95,2,11,43,41,8,95,6,3,50.0,2,33.3,57,373,228,7,4,3,4,2,65,12
127,Amadou Haidara,MLI,MF,RB Leipzig,26,1998.0,3.2,269,17,56,192,23,6,269,5,4,80.0,1,20.0,136,421,196,2,0,0,1,2,200,5
128,Andreas Hanche-Olsen,NOR,DF,Mainz 05,27,1997.0,3.3,146,26,88,54,4,1,146,0,0,0.0,0,0.0,53,239,104,0,1,0,1,1,81,2
129,Ramon Hendriks,NED,DF,Stuttgart,23,2001.0,0.0,4,0,0,3,1,0,4,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1
130,Benjamin Henrichs,GER,DF,RB Leipzig,27,1997.0,2.6,182,10,38,91,54,6,182,3,2,66.7,1,33.3,88,497,173,6,3,0,4,1,103,22
131,Piero Hincapié,ECU,DF,Leverkusen,22,2002.0,4.4,344,42,134,167,43,6,344,0,0,0.0,0,0.0,154,810,521,5,6,0,5,0,231,5
132,Adam Hložek,CZE,"FW,MF",Hoffenheim,22,2002.0,2.7,76,6,10,26,40,7,76,7,1,14.3,6,85.7,44,221,73,3,4,0,5,5,54,9
133,Nicolas Höfler,GER,MF,Freiburg,34,1990.0,0.6,40,1,11,25,5,0,40,1,1,100.0,0,0.0,17,70,27,0,0,0,1,0,22,0
134,Jonas Hofmann,GER,MF,Leverkusen,32,1992.0,0.7,39,1,5,19,15,2,39,1,0,0.0,1,100.0,14,94,39,1,0,0,0,0,34,4
135,Philipp Hofmann,GER,FW,Bochum,31,1993.0,3.5,125,7,12,72,41,13,125,4,4,100.0,0,0.0,58,186,65,2,2,1,10,3,94,13
136,Lucas Höler,GER,"MF,FW",Freiburg,30,1994.0,1.2,59,3,10,25,25,8,58,1,0,0.0,0,0.0,27,118,52,0,0,0,2,1,36,10
137,Benedict Hollerbach,GER,"MF,FW",Union Berlin,23,2001.0,3.9,143,0,11,65,70,18,143,16,7,43.8,8,50.0,103,803,307,13,7,8,16,21,118,22
138,Lewis Holtby,GER,MF,Holstein Kiel,34,1990.0,4.4,226,16,85,96,46,5,226,2,1,50.0,1,50.0,94,417,143,3,1,1,5,4,118,9
139,Franck Honorat,FRA,FW,Gladbach,28,1996.0,2.6,105,5,17,35,54,12,105,1,0,0.0,1,100.0,49,277,159,9,3,3,1,0,73,16
140,Mathias Honsak,AUT,"MF,FW",Heidenheim,27,1996.0,0.9,47,3,14,20,15,5,47,2,2,100.0,0,0.0,21,109,63,2,2,0,4,2,26,7
141,Lukáš Hrádecký,FIN,GK,Leverkusen,34,1989.0,4.0,128,116,127,1,0,0,128,0,0,0.0,0,0.0,63,336,168,0,0,0,0,0,59,0
142,Robin Hranáč,CZE,DF,Hoffenheim,24,2000.0,1.0,56,7,20,36,0,0,56,0,0,0.0,0,0.0,29,113,64,0,0,0,1,0,35,0
143,Hong Hyunseok,KOR,MF,Mainz 05,25,1999.0,2.4,87,3,17,38,33,6,87,0,0,0.0,0,0.0,43,182,52,0,0,0,4,4,54,8
144,Oscar Højlund,DEN,MF,Eint Frankfurt,19,2005.0,0.2,7,0,3,4,1,0,7,0,0,0.0,0,0.0,3,28,6,1,1,0,1,2,4,1
145,Jackson Irvine,AUS,MF,St. Pauli,31,1993.0,5.0,255,16,58,153,50,9,255,8,3,37.5,5,62.5,82,360,212,5,7,3,7,3,124,9
146,Ko Itakura,JPN,DF,Gladbach,27,1997.0,5.0,411,49,253,147,13,5,411,1,1,100.0,0,0.0,243,974,441,0,3,0,2,2,288,0
147,Marko Ivezić,SRB,DF,Holstein Kiel,22,2001.0,1.0,47,8,23,22,3,2,47,2,0,0.0,2,100.0,27,88,24,0,2,0,1,0,27,0
148,Lee Jae-sung,KOR,MF,Mainz 05,32,1992.0,3.8,165,6,31,62,74,17,165,5,1,20.0,3,60.0,89,315,145,4,5,0,8,5,123,20
149,Kristijan Jakić,CRO,MF,Augsburg,27,1997.0,2.9,151,4,28,96,29,9,151,1,1,100.0,0,0.0,70,444,232,7,3,0,6,2,97,1
