Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
109,Juan Cruz,es ESP,"FW,MF",Leganés,24-158,2000,4.8,223,2,38,86,103,10,223,18,12,66.7,6,33.3,118,787,317,12,10,8,6,8,126,26,Matches
110,Pau Cubarsí,es ESP,DF,Barcelona,17-252,2007,6.4,568,43,228,323,17,8,568,0,0,,0,,321,1645,1082,7,4,0,1,0,451,1,Matches
111,Arnaut Danjuma,nl NED,FW,Villarreal,27-243,1997,2.2,48,0,1,13,34,8,48,4,0,0.0,4,100.0,25,207,98,4,3,2,3,0,36,17,Matches
112,Arnaut Danjuma,nl NED,"FW,MF",Girona,27-243,1997,3.0,128,1,18,39,72,15,128,14,4,28.6,8,57.1,80,663,384,19,6,8,5,0,94,33,Matches
113,Sergi Darder,es ESP,"MF,FW",Mallorca,30-283,1993,5.9,304,2,25,165,118,3,304,13,8,61.5,5,38.5,175,1123,442,10,18,1,9,5,202,19,Matches
114,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30-129,1994,3.8,292,4,35,162,97,3,292,7,3,42.9,3,42.9,195,1203,601,13,13,0,8,6,235,23,Matches
115,Assane Diao,es ESP,FW,Betis,19-023,2005,1.9,49,1,2,21,26,8,49,5,0,0.0,5,100.0,21,125,41,2,1,0,3,2,33,13,Matches
116,Moussa Diarra,ml MLI,DF,Alavés,23-325,2000,3.7,137,4,47,70,21,2,137,1,0,0.0,1,100.0,65,216,81,1,0,0,5,4,66,3,Matches
117,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,25-058,1999,1.3,85,0,8,36,41,3,85,7,6,85.7,1,14.3,66,360,229,9,2,2,4,5,71,17,Matches
118,Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,26-117,1998,0.6,21,0,1,12,8,0,21,0,0,,0,,6,25,17,0,0,0,0,0,8,2,Matches
119,Diego,es ESP,"FW,MF",Leganés,24-165,2000,1.3,41,2,3,12,26,9,41,1,0,0.0,1,100.0,18,109,19,2,0,0,3,0,26,8,Matches
120,Álvaro djaló,es ESP,FW,Athletic Club,25-045,1999,1.7,56,0,2,21,35,3,56,6,3,50.0,3,50.0,40,263,141,6,7,1,8,4,46,20,Matches
121,Djené,tg TOG,DF,Getafe,32-274,1991,7.7,298,32,137,130,37,8,298,6,2,33.3,2,33.3,110,578,300,5,2,0,2,1,107,3,Matches
122,Marko Dmitrović,rs SRB,GK,Leganés,32-250,1992,2.0,69,53,69,0,0,0,69,0,0,,0,,29,179,128,0,0,0,0,0,19,0,Matches
123,Marc Domenech,es ESP,FW,Mallorca,18-273,2006,1.3,36,0,4,15,19,4,36,1,1,100.0,0,0.0,16,70,31,0,1,0,5,2,21,8,Matches
124,Carlos Dominguez,es ESP,DF,Celta Vigo,23-232,2001,3.8,333,26,134,188,11,2,333,0,0,,0,,199,955,576,2,6,0,1,0,236,0,Matches
125,Sergi Dominguez,es ESP,DF,Barcelona,19-182,2005,1.9,191,13,69,121,3,0,191,0,0,,0,,127,569,284,0,1,0,0,0,157,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
126,Anastasios Douvikas,gr GRE,FW,Celta Vigo,25-059,1999,3.6,82,7,9,40,36,14,82,8,2,25.0,4,50.0,51,282,89,3,4,2,9,5,64,23,Matches
127,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23-128,2001,1.6,57,0,4,19,34,9,57,1,0,0.0,1,100.0,39,185,58,3,1,2,5,1,41,14,Matches
128,Hugo Duro,es ESP,FW,Valencia,24-325,1999,5.0,117,2,7,65,48,17,117,4,1,25.0,3,75.0,47,190,63,4,1,0,10,6,80,16,Matches
129,Chidera Ejuke,ng NGA,"FW,MF",Sevilla,26-272,1998,4.6,291,1,25,122,153,19,291,39,24,61.5,12,30.8,205,1732,979,41,20,11,11,14,223,54,Matches
130,Aritz Elustondo,es ESP,DF,Real Sociedad,30-186,1994,2.7,211,24,106,92,14,2,211,2,0,0.0,2,100.0,111,663,391,4,0,0,0,0,138,1,Matches
