Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
141,Paulo Dybala,ARG,"FW,MF",Roma,30,1993,3.2,186,1,14,72,100,19,185,9,2,22.2,5,55.6,115,633,250,7,5,5,10,5,137,24
142,Éderson,BRA,MF,Atalanta,25,1999,5.8,362,8,63,210,94,12,362,9,3,33.3,4,44.4,218,887,376,2,6,1,13,8,270,13
143,Kingsley Ehizibue,NED,DF,Udinese,29,1995,6.0,240,19,78,89,75,10,240,4,1,25.0,3,75.0,103,654,373,13,11,1,5,7,111,29
144,Jeff Ekhator,ITA,"FW,MF",Genoa,17,2006,0.4,20,1,1,6,14,2,20,0,0,0.0,0,0.0,12,59,35,1,1,1,4,0,16,8
145,Jurgen Ekkelenkamp,NED,MF,Udinese,24,2000,2.2,100,3,19,58,26,3,100,3,1,33.3,2,66.7,47,268,164,4,1,0,3,0,68,7
146,Emmanuel Ekong,SWE,"MF,FW",Empoli,22,2002,0.4,19,0,3,3,14,3,19,5,3,60.0,1,20.0,13,167,109,5,1,2,2,5,17,6
147,Caleb Ekuban,GHA,FW,Genoa,30,1994,2.3,51,2,6,17,29,8,51,4,2,50.0,2,50.0,31,126,64,1,1,0,6,6,35,11
148,Mikael Ellertsson,ISL,MF,Venezia,22,2002,4.4,125,7,27,46,53,14,125,10,5,50.0,4,40.0,72,312,158,5,5,2,10,4,78,11
149,Emerson,BRA,DF,Milan,25,1999,4.0,279,11,67,134,80,4,279,6,3,50.0,2,33.3,172,668,307,6,3,1,3,2,196,19
150,Yannik Engelhardt,GER,MF,Como,23,2001,0.8,28,0,5,22,1,0,28,1,0,0.0,1,100.0,23,118,57,1,1,0,1,1,25,1
151,Martin Erlic,CRO,DF,Bologna,26,1998,1.5,95,9,42,51,2,1,95,1,0,0.0,0,0.0,68,285,169,0,0,0,0,0,70,1
152,Sebastiano Esposito,ITA,"FW,MF",Empoli,22,2002,4.1,182,4,19,90,80,17,182,16,8,50.0,6,37.5,81,472,238,11,10,5,7,8,113,10
153,Nahuel Estévez,ARG,MF,Parma,28,1995,1.8,71,8,31,29,11,1,71,0,0,0.0,0,0.0,23,60,13,0,0,0,1,1,38,0
154,Giovanni Fabbian,ITA,MF,Bologna,21,2003,2.8,73,1,10,38,28,10,73,3,0,0.0,2,66.7,44,358,80,3,0,2,6,4,49,5
155,Alieu Fadera,GAM,"FW,MF",Como,22,2001,2.8,118,1,21,50,54,9,118,6,4,66.7,2,33.3,86,748,404,15,6,5,5,13,87,20
156,Nicolò Fagioli,ITA,MF,Juventus,23,2001,3.3,274,7,52,181,43,3,274,2,1,50.0,1,50.0,174,1155,578,9,11,1,5,1,231,6
157,Wladimiro Falcone,ITA,GK,Lecce,29,1995,6.0,186,167,184,2,0,0,186,0,0,0.0,0,0.0,97,499,329,0,0,0,0,0,80,0
158,Davide Faraoni,ITA,"MF,DF",Hellas Verona,32,1991,0.3,16,1,5,8,3,1,16,0,0,0.0,0,0.0,7,32,10,1,0,0,0,0,9,1
159,Jacopo Fazzini,ITA,MF,Empoli,21,2003,2.6,83,4,17,39,30,6,83,8,5,62.5,2,25.0,54,404,261,7,4,4,8,7,54,14
160,Mattia Felici,ITA,DF,Cagliari,23,2001,0.3,11,0,2,6,4,1,11,4,2,50.0,2,50.0,7,56,34,1,1,1,0,0,5,2
161,Youssouf Fofana,FRA,MF,Milan,25,1999,3.8,265,5,70,173,25,3,265,5,2,40.0,3,60.0,169,969,490,5,3,0,3,1,215,1
162,Michael Folorunsho,ITA,FW,Napoli,26,1998,0.2,11,0,1,7,3,0,11,1,0,0.0,1,100.0,2,29,4,0,0,0,2,0,5,1
163,Omari Forson,ENG,"MF,FW",Monza,20,2004,0.2,15,0,1,8,6,0,15,2,2,100.0,0,0.0,12,125,28,1,1,0,2,1,15,2
