Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
145,Jurgen Ekkelenkamp,NED,MF,Udinese,24,2000,2.2,3,3,1,2,0,1,2,50.0,1,3,0,3,1,4,2,0
146,Emmanuel Ekong,SWE,"MF,FW",Empoli,22,2002,0.4,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,1,0
147,Caleb Ekuban,GHA,FW,Genoa,30,1994,2.3,1,1,0,1,0,0,0,0.0,0,2,0,2,0,1,3,0
148,Mikael Ellertsson,ISL,MF,Venezia,22,2002,4.4,5,1,0,3,2,1,2,50.0,1,7,2,5,0,5,11,0
149,Emerson,BRA,DF,Milan,25,1999,4.0,9,7,5,2,2,6,9,66.7,3,3,2,1,4,13,9,0
150,Yannik Engelhardt,GER,MF,Como,23,2001,0.8,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
151,Martin Erlic,CRO,DF,Bologna,26,1998,1.5,1,0,0,1,0,0,1,0.0,1,3,3,0,0,1,3,0
152,Sebastiano Esposito,ITA,"FW,MF",Empoli,22,2002,4.1,14,8,5,7,2,6,11,54.5,5,4,1,3,5,19,1,0
153,Nahuel Estévez,ARG,MF,Parma,28,1995,1.8,3,1,3,0,0,1,6,16.7,5,2,2,0,2,5,6,0
154,Giovanni Fabbian,ITA,MF,Bologna,21,2003,2.8,4,3,0,2,2,2,4,50.0,2,0,0,0,1,5,1,0
155,Alieu Fadera,GAM,"FW,MF",Como,22,2001,2.8,13,11,6,4,3,6,16,37.5,10,3,1,2,0,13,0,0
156,Nicolò Fagioli,ITA,MF,Juventus,23,2001,3.3,7,4,3,3,1,3,3,100.0,0,1,0,1,2,9,3,0
157,Wladimiro Falcone,ITA,GK,Lecce,29,1995,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0
158,Davide Faraoni,ITA,"MF,DF",Hellas Verona,32,1991,0.3,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,1,0
159,Jacopo Fazzini,ITA,MF,Empoli,21,2003,2.6,7,3,3,4,0,3,4,75.0,1,4,0,4,1,8,6,0
160,Mattia Felici,ITA,DF,Cagliari,23,2001,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0
161,Youssouf Fofana,FRA,MF,Milan,25,1999,3.8,4,1,2,1,1,2,6,33.3,4,2,1,1,2,6,5,0
162,Michael Folorunsho,ITA,FW,Napoli,26,1998,0.2,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,0,1
163,Omari Forson,ENG,"MF,FW",Monza,20,2004,0.2,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
164,Davide Frattesi,ITA,MF,Inter,24,1999,2.9,6,3,2,4,0,4,5,80.0,1,2,1,1,1,7,1,0
165,Morten Frendrup,DEN,MF,Genoa,23,2001,5.8,17,9,5,5,7,6,14,42.9,8,8,2,6,11,28,6,0
166,Martin Frese,DEN,DF,Hellas Verona,26,1998,3.7,13,7,6,7,0,5,8,62.5,3,2,1,1,6,19,14,1
167,Remo Freuler,SUI,MF,Bologna,32,1992,6.0,14,9,9,4,1,7,14,50.0,7,5,1,4,4,18,14,0
168,Matteo Gabbia,ITA,DF,Milan,24,1999,3.0,2,0,0,1,1,0,1,0.0,1,3,2,1,2,4,8,1
169,Alessandro Gabrielloni,ITA,"FW,MF",Como,30,1994,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
170,Gianluca Gaetano,ITA,MF,Cagliari,24,2000,0.9,2,1,1,1,0,1,2,50.0,1,2,0,2,1,3,1,0
171,Roberto Gagliardini,ITA,"MF,DF",Monza,30,1994,1.0,1,0,0,1,0,0,2,0.0,2,0,0,0,1,2,4,0
172,Antonino Gallo,ITA,DF,Lecce,24,2000,5.9,10,7,8,2,0,4,9,44.4,5,6,1,5,4,14,25,0
173,Gaspar,ANG,DF,Lecce,27,1997,6.0,10,4,9,1,0,4,4,100.0,0,14,11,3,11,21,27,0
174,Federico Gatti,ITA,DF,Juventus,26,1998,3.9,7,4,6,1,0,5,6,83.3,1,6,3,3,4,11,10,0
175,David de Gea,ESP,GK,Fiorentina,33,1990,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
176,Valentin Gendrey,FRA,DF,Lecce,24,2000,2.0,2,2,1,0,1,1,1,100.0,0,3,1,2,2,4,1,0
177,Lautaro Gianetti,ARG,DF,Udinese,30,1993,3.3,6,4,5,0,1,1,6,16.7,5,7,3,4,8,14,12,0
178,Mario Gila,ESP,DF,Lazio,24,2000,3.0,2,1,2,0,0,2,3,66.7,1,0,0,0,3,5,10,0
179,Billy Gilmour,SCO,MF,Napoli,23,2001,0.2,2,1,0,0,2,1,2,50.0,1,0,0,0,0,2,0,0
180,Gvidas Gineitis,LTU,MF,Torino,20,2004,0.5,4,1,2,1,1,1,1,100.0,0,0,0,0,0,4,0,0
181,Ben Godfrey,ENG,DF,Atalanta,26,1998,0.3,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
182,Saba Goglichidze,GEO,DF,Empoli,20,2004,4.0,12,8,7,5,0,7,11,63.6,4,4,2,2,6,18,16,0
183,Edoardo Goldaniga,ITA,DF,Como,30,1993,1.4,2,1,2,0,0,0,0,0.0,0,1,1,0,2,4,5,0
184,Pierluigi Gollini,ITA,GK,Genoa,29,1995,6.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,1,1
185,Nicolás González,ARG,FW,Juventus,26,1998,2.5,3,1,1,0,2,1,2,50.0,1,4,1,3,0,3,0,0
186,Robin Gosens,GER,DF,Fiorentina,30,1994,4.0,10,5,4,2,4,4,4,100.0,0,1,0,1,1,11,11,0
187,Alberto Grassi,ITA,MF,Empoli,29,1995,3.3,6,4,2,3,1,3,3,100.0,0,3,2,1,5,11,6,0
188,Mattéo Guendouzi,FRA,MF,Lazio,25,1999,6.0,8,5,2,5,1,4,11,36.4,7,5,1,4,9,17,9,0
189,Frederic Guilbert,FRA,DF,Lecce,29,1994,2.3,7,3,5,2,0,1,2,50.0,1,3,1,2,5,12,10,0
190,Albert Guðmundsson,ISL,MF,Fiorentina,27,1997,1.3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0
191,Emmanuel Gyasi,GHA,"DF,FW",Empoli,30,1994,6.0,9,4,6,3,0,5,7,71.4,2,10,4,6,0,9,14,0
192,Christian Gytkjær,DEN,FW,Venezia,34,1990,1.7,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,3,0
193,Nicolas Haas,SUI,MF,Empoli,28,1996,1.1,4,2,3,1,0,2,2,100.0,0,0,0,0,1,5,4,0
194,Saad El Haddad,MAR,MF,Venezia,19,2005,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
195,Antoine Hainaut,FRA,"DF,FW",Parma,22,2002,0.6,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,0,0
196,Mohamed Haj,TUN,MF,Parma,19,2005,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0
197,Ridgeciano Haps,SUR,DF,Venezia,31,1993,2.3,6,4,5,0,1,4,5,80.0,1,0,0,0,0,6,8,0
