Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
193,Nicolas Haas,SUI,MF,Empoli,28,1996,1.1,26,25,0,0,0,0,0,0,0,0,0,0,20,1,0
194,Saad El Haddad,MAR,MF,Venezia,19,2005,0.2,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0
195,Antoine Hainaut,FRA,"DF,FW",Parma,22,2002,0.6,45,39,6,0,0,0,4,5,1,0,0,0,35,0,1
196,Mohamed Haj,TUN,MF,Parma,19,2005,0.3,19,19,0,0,0,0,2,0,0,0,0,0,18,0,0
197,Ridgeciano Haps,SUR,DF,Venezia,31,1993,2.3,66,58,8,0,0,0,4,8,0,0,0,0,48,0,2
198,Abdou Harroui,NED,"FW,MF",Hellas Verona,26,1998,1.9,58,58,0,0,0,0,4,0,0,0,0,0,42,0,3
199,Liam Henderson,SCO,MF,Empoli,28,1996,5.8,176,151,24,11,1,0,18,0,12,2,8,0,137,1,3
200,Mario Hermoso,ESP,DF,Roma,29,1995,0.6,21,21,0,0,0,0,1,0,0,0,0,0,17,0,1
201,Theo Hernández,FRA,DF,Milan,26,1997,4.4,282,240,42,10,0,3,17,24,8,6,0,0,253,0,6
202,Hernani,BRA,MF,Parma,30,1994,1.0,62,55,6,3,0,0,0,1,0,0,0,0,51,1,1
203,Isak Hien,SWE,DF,Atalanta,25,1999,2.3,108,103,5,5,0,0,0,0,0,0,0,0,88,0,0
204,Emil Holm,SWE,MF,Bologna,24,2000,0.1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
205,Elseid Hysaj,ALB,DF,Lazio,30,1994,0.1,16,15,1,0,0,1,0,1,0,0,0,0,14,0,0
206,Jay Idzes,IDN,DF,Venezia,24,2000,4.7,234,204,30,8,0,2,0,22,0,0,0,0,207,0,1
207,Jonathan Ikone,FRA,"MF,FW",Fiorentina,26,1998,1.2,33,33,0,0,0,0,1,0,0,0,0,0,25,0,1
208,Ivan Ilić,SRB,MF,Torino,23,2001,5.3,278,259,18,7,1,1,17,4,7,6,0,0,235,1,6
209,Samuel Iling-Junior,ENG,"MF,FW",Bologna,20,2003,0.5,30,26,4,3,0,0,4,1,0,0,0,0,21,0,2
210,Alessio Iovine,ITA,DF,Como,33,1991,2.5,119,94,25,1,0,0,11,24,0,0,0,0,85,0,3
211,Gustav Isaksen,DEN,"FW,MF",Lazio,23,2001,3.1,108,95,12,2,1,1,22,0,10,8,1,0,77,1,4
212,Ardian Ismajli,ALB,DF,Empoli,28,1996,6.0,159,140,18,12,0,1,0,0,0,0,0,0,119,1,0
213,Armando Izzo,ITA,DF,Monza,32,1992,5.6,331,308,23,16,0,3,2,2,0,0,0,0,289,0,4
214,Ali Jasim,IRQ,FW,Como,20,2004,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
215,Gaby Jean,FRA,DF,Lecce,24,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
