Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
178,Mario Gila,ESP,DF,Lazio,24,2000,3.0,2,0,0,3,4,0,0,3,1,0,0,0,8,7,9,43.8
179,Billy Gilmour,SCO,MF,Napoli,23,2001,0.2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0.0
180,Gvidas Gineitis,LTU,MF,Torino,20,2004,0.5,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0.0
181,Ben Godfrey,ENG,DF,Atalanta,26,1998,0.3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0
182,Saba Goglichidze,GEO,DF,Empoli,20,2004,4.0,0,0,0,4,2,0,1,6,8,0,0,0,19,6,13,31.6
183,Edoardo Goldaniga,ITA,DF,Como,30,1993,1.4,1,0,0,0,2,0,0,2,1,0,0,0,6,2,1,66.7
184,Pierluigi Gollini,ITA,GK,Genoa,29,1995,6.0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0
185,Nicolás González,ARG,FW,Juventus,26,1998,2.5,0,0,0,2,6,0,4,0,1,0,0,0,5,2,4,33.3
186,Robin Gosens,GER,DF,Fiorentina,30,1994,4.0,1,0,0,2,4,1,8,1,5,0,0,0,7,12,7,63.2
187,Alberto Grassi,ITA,MF,Empoli,29,1995,3.3,0,0,0,3,5,0,1,5,4,0,0,0,17,3,3,50.0
188,Mattéo Guendouzi,FRA,MF,Lazio,25,1999,6.0,2,0,0,7,6,0,4,9,5,0,1,0,21,2,4,33.3
189,Frederic Guilbert,FRA,DF,Lecce,29,1994,2.3,0,1,0,3,2,0,4,5,3,0,0,0,8,5,3,62.5
190,Albert Guðmundsson,ISL,MF,Fiorentina,27,1997,1.3,0,0,0,1,4,0,1,1,0,1,0,0,6,0,3,0.0
191,Emmanuel Gyasi,GHA,"DF,FW",Empoli,30,1994,6.0,1,0,0,11,3,1,4,0,4,0,0,0,24,8,15,34.8
192,Christian Gytkjær,DEN,FW,Venezia,34,1990,1.7,0,0,0,1,0,2,0,0,1,0,0,0,3,3,9,25.0
193,Nicolas Haas,SUI,MF,Empoli,28,1996,1.1,0,0,0,5,2,0,0,1,2,0,0,0,4,1,2,33.3
194,Saad El Haddad,MAR,MF,Venezia,19,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
195,Antoine Hainaut,FRA,"DF,FW",Parma,22,2002,0.6,0,0,0,0,1,0,4,2,1,0,0,0,3,2,0,100.0
196,Mohamed Haj,TUN,MF,Parma,19,2005,0.3,0,0,0,0,2,0,2,1,0,0,0,0,3,0,0,0.0
197,Ridgeciano Haps,SUR,DF,Venezia,31,1993,2.3,1,0,0,0,1,0,4,0,4,0,0,0,11,1,2,33.3
198,Abdou Harroui,NED,"FW,MF",Hellas Verona,26,1998,1.9,1,0,0,3,1,0,4,0,2,0,0,0,6,4,3,57.1
199,Liam Henderson,SCO,MF,Empoli,28,1996,5.8,1,0,0,15,5,0,18,5,1,0,0,0,12,1,4,20.0
200,Mario Hermoso,ESP,DF,Roma,29,1995,0.6,0,0,0,1,0,0,1,2,0,0,0,0,3,1,3,25.0
201,Theo Hernández,FRA,DF,Milan,26,1997,4.4,0,0,0,1,8,0,17,5,2,0,0,0,21,2,1,66.7
